attribution_path_id,conversion_event_id,known_user_id,campaign_id,first_touch_channel,last_touch_channel,multi_touch_path,conversion_lag_hours,identity_resolution_dependency_count
attr_00000001,evt_000000004,ku_007986,cmp_035,direct,direct,direct>conversion,1,1
attr_00000002,evt_000000019,ku_013017,cmp_010,organic,retargeting,organic>retargeting>conversion,2,2
attr_00000003,evt_000000048,ku_018820,cmp_031,social,retargeting,social>retargeting>conversion,3,3
attr_00000004,evt_000000056,ku_006671,cmp_024,direct,direct,direct>conversion,4,4
attr_00000005,evt_000000059,ku_007209,cmp_023,affiliate,retargeting,affiliate>retargeting>conversion,5,1
attr_00000006,evt_000000061,ku_002943,cmp_040,organic,retargeting,organic>retargeting>conversion,6,2
attr_00000007,evt_000000068,ku_017517,cmp_036,direct,direct,direct>conversion,7,3
attr_00000008,evt_000000069,ku_008768,cmp_001,direct,direct,direct>conversion,8,4
attr_00000009,evt_000000074,ku_013088,cmp_013,affiliate,retargeting,affiliate>retargeting>conversion,9,1
attr_00000010,evt_000000077,ku_018338,cmp_005,social,retargeting,social>retargeting>conversion,10,2
attr_00000011,evt_000000083,ku_016311,cmp_037,organic,retargeting,organic>retargeting>conversion,11,3
attr_00000012,evt_000000085,ku_011781,cmp_027,organic,retargeting,organic>retargeting>conversion,12,4
attr_00000013,evt_000000108,ku_017117,cmp_032,paid_search,retargeting,paid_search>retargeting>conversion,13,1
attr_00000014,evt_000000117,ku_006805,cmp_025,social,retargeting,social>retargeting>conversion,14,2
attr_00000015,evt_000000138,ku_015261,cmp_003,direct,direct,direct>conversion,15,3
attr_00000016,evt_000000149,ku_009866,cmp_025,social,retargeting,social>retargeting>conversion,16,4
attr_00000017,evt_000000152,ku_008309,cmp_020,social,retargeting,social>retargeting>conversion,17,1
attr_00000018,evt_000000159,ku_002276,cmp_030,direct,direct,direct>conversion,18,2
attr_00000019,evt_000000161,ku_009120,cmp_023,social,retargeting,social>retargeting>conversion,19,3
attr_00000020,evt_000000166,ku_019345,cmp_002,direct,direct,direct>conversion,20,4
attr_00000021,evt_000000168,ku_007475,cmp_003,organic,retargeting,organic>retargeting>conversion,21,1
attr_00000022,evt_000000180,ku_002839,cmp_002,direct,direct,direct>conversion,22,2
attr_00000023,evt_000000183,ku_006360,cmp_014,paid_search,retargeting,paid_search>retargeting>conversion,23,3
attr_00000024,evt_000000195,ku_001648,cmp_022,direct,direct,direct>conversion,24,4
attr_00000025,evt_000000200,ku_012218,cmp_035,social,retargeting,social>retargeting>conversion,25,1
attr_00000026,evt_000000205,ku_006231,cmp_020,organic,retargeting,organic>retargeting>conversion,26,2
attr_00000027,evt_000000222,ku_019532,cmp_011,social,retargeting,social>retargeting>conversion,27,3
attr_00000028,evt_000000227,ku_001032,cmp_025,organic,retargeting,organic>retargeting>conversion,28,4
attr_00000029,evt_000000229,ku_007370,cmp_001,paid_search,retargeting,paid_search>retargeting>conversion,29,1
attr_00000030,evt_000000243,ku_011611,cmp_006,paid_search,retargeting,paid_search>retargeting>conversion,30,2
attr_00000031,evt_000000245,ku_009273,cmp_035,social,retargeting,social>retargeting>conversion,31,3
attr_00000032,evt_000000256,ku_010453,cmp_021,affiliate,retargeting,affiliate>retargeting>conversion,32,4
attr_00000033,evt_000000282,ku_007880,cmp_008,direct,direct,direct>conversion,33,1
attr_00000034,evt_000000284,ku_019015,cmp_008,direct,direct,direct>conversion,34,2
attr_00000035,evt_000000290,ku_005553,cmp_039,paid_search,retargeting,paid_search>retargeting>conversion,35,3
attr_00000036,evt_000000304,ku_001047,cmp_036,affiliate,retargeting,affiliate>retargeting>conversion,36,4
attr_00000037,evt_000000306,ku_000031,cmp_013,paid_search,retargeting,paid_search>retargeting>conversion,37,1
attr_00000038,evt_000000319,ku_010398,cmp_025,direct,direct,direct>conversion,38,2
attr_00000039,evt_000000329,ku_008948,cmp_014,direct,direct,direct>conversion,39,3
attr_00000040,evt_000000349,ku_000740,cmp_004,direct,direct,direct>conversion,40,4
attr_00000041,evt_000000356,ku_002507,cmp_007,direct,direct,direct>conversion,41,1
attr_00000042,evt_000000362,ku_002386,cmp_016,organic,retargeting,organic>retargeting>conversion,42,2
attr_00000043,evt_000000369,ku_002924,cmp_005,social,retargeting,social>retargeting>conversion,43,3
attr_00000044,evt_000000371,ku_009411,cmp_020,organic,retargeting,organic>retargeting>conversion,44,4
attr_00000045,evt_000000378,ku_016517,cmp_015,social,retargeting,social>retargeting>conversion,45,1
attr_00000046,evt_000000385,ku_002620,cmp_024,social,retargeting,social>retargeting>conversion,46,2
attr_00000047,evt_000000386,ku_006703,cmp_026,social,retargeting,social>retargeting>conversion,47,3
attr_00000048,evt_000000396,ku_004761,cmp_004,social,retargeting,social>retargeting>conversion,48,4
attr_00000049,evt_000000401,ku_017953,cmp_028,organic,retargeting,organic>retargeting>conversion,49,1
attr_00000050,evt_000000403,ku_014740,cmp_037,direct,direct,direct>conversion,50,2
attr_00000051,evt_000000405,ku_003439,cmp_032,social,retargeting,social>retargeting>conversion,51,3
attr_00000052,evt_000000414,ku_015822,cmp_031,organic,retargeting,organic>retargeting>conversion,52,4
attr_00000053,evt_000000415,ku_003901,cmp_026,direct,direct,direct>conversion,53,1
attr_00000054,evt_000000452,ku_019516,cmp_027,paid_search,retargeting,paid_search>retargeting>conversion,54,2
attr_00000055,evt_000000453,ku_011716,cmp_008,direct,direct,direct>conversion,55,3
attr_00000056,evt_000000471,ku_008358,cmp_030,affiliate,retargeting,affiliate>retargeting>conversion,56,4
attr_00000057,evt_000000478,ku_015269,cmp_031,organic,retargeting,organic>retargeting>conversion,57,1
attr_00000058,evt_000000485,ku_011026,cmp_002,paid_search,retargeting,paid_search>retargeting>conversion,58,2
attr_00000059,evt_000000490,ku_005811,cmp_038,paid_search,retargeting,paid_search>retargeting>conversion,59,3
attr_00000060,evt_000000497,ku_000328,cmp_020,organic,retargeting,organic>retargeting>conversion,60,4
attr_00000061,evt_000000499,ku_018873,cmp_012,social,retargeting,social>retargeting>conversion,61,1
attr_00000062,evt_000000508,ku_006083,cmp_008,paid_search,retargeting,paid_search>retargeting>conversion,62,2
attr_00000063,evt_000000519,ku_006547,cmp_002,paid_search,retargeting,paid_search>retargeting>conversion,63,3
attr_00000064,evt_000000542,ku_016085,cmp_039,affiliate,retargeting,affiliate>retargeting>conversion,64,4
attr_00000065,evt_000000544,ku_002955,cmp_029,affiliate,retargeting,affiliate>retargeting>conversion,65,1
attr_00000066,evt_000000545,ku_007883,cmp_029,direct,direct,direct>conversion,66,2
attr_00000067,evt_000000547,ku_011407,cmp_018,direct,direct,direct>conversion,67,3
attr_00000068,evt_000000553,ku_009118,cmp_037,organic,retargeting,organic>retargeting>conversion,68,4
attr_00000069,evt_000000569,ku_019337,cmp_020,paid_search,retargeting,paid_search>retargeting>conversion,69,1
attr_00000070,evt_000000576,ku_002094,cmp_038,organic,retargeting,organic>retargeting>conversion,70,2
attr_00000071,evt_000000577,ku_000410,cmp_030,organic,retargeting,organic>retargeting>conversion,71,3
attr_00000072,evt_000000582,ku_009169,cmp_030,direct,direct,direct>conversion,72,4
attr_00000073,evt_000000587,ku_011049,cmp_010,direct,direct,direct>conversion,73,1
attr_00000074,evt_000000598,ku_005306,cmp_033,organic,retargeting,organic>retargeting>conversion,74,2
attr_00000075,evt_000000616,ku_009511,cmp_011,affiliate,retargeting,affiliate>retargeting>conversion,75,3
attr_00000076,evt_000000618,ku_010621,cmp_038,organic,retargeting,organic>retargeting>conversion,76,4
attr_00000077,evt_000000621,ku_006507,cmp_009,affiliate,retargeting,affiliate>retargeting>conversion,77,1
attr_00000078,evt_000000622,ku_014190,cmp_031,organic,retargeting,organic>retargeting>conversion,78,2
attr_00000079,evt_000000625,ku_007603,cmp_024,affiliate,retargeting,affiliate>retargeting>conversion,79,3
attr_00000080,evt_000000628,ku_010646,cmp_002,paid_search,retargeting,paid_search>retargeting>conversion,80,4
attr_00000081,evt_000000638,ku_014835,cmp_034,direct,direct,direct>conversion,81,1
attr_00000082,evt_000000639,ku_008950,cmp_027,affiliate,retargeting,affiliate>retargeting>conversion,82,2
attr_00000083,evt_000000653,ku_003933,cmp_017,affiliate,retargeting,affiliate>retargeting>conversion,83,3
attr_00000084,evt_000000662,ku_011080,cmp_024,organic,retargeting,organic>retargeting>conversion,84,4
attr_00000085,evt_000000669,ku_016685,cmp_028,social,retargeting,social>retargeting>conversion,85,1
attr_00000086,evt_000000676,ku_015041,cmp_030,direct,direct,direct>conversion,86,2
attr_00000087,evt_000000681,ku_001249,cmp_030,affiliate,retargeting,affiliate>retargeting>conversion,87,3
attr_00000088,evt_000000722,ku_015471,cmp_018,direct,direct,direct>conversion,88,4
