event_id,event_type,event_timestamp,anonymous_user_id,known_user_id,device_id,cookie_id,session_id,ip_id,browser_fingerprint_id,email_hash,phone_hash,payment_instrument_id,campaign_id,product_id,geo_region,channel,user_agent_family,event_source,payload
evt_000000103,account_recovery,2025-04-09 20:05:00,au_000014,ku_006425,dev_014981,,sess_0074270,ip_017992,bf_002346,,000000000000000000001918,,,,EU,direct,edge,web,"{""synthetic"": true, ""amount"": 14.38}"
evt_000000131,account_recovery,2025-04-02 18:32:00,au_023180,ku_003435,dev_000176,ck_025209,sess_0032983,ip_006133,bf_006235,,000000000000000000000d6a,,,,LATAM,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 24.14}"
evt_000000313,account_recovery,2025-02-04 21:02:00,au_029964,ku_004351,dev_019596,ck_014029,sess_0005976,ip_023046,bf_013916,,0000000000000000000010fe,,,,EU,social,edge,web,"{""synthetic"": true, ""amount"": 26.66}"
evt_000000430,account_recovery,2025-02-19 08:40:00,,ku_006189,dev_024705,ck_015603,sess_0043187,ip_012052,bf_010152,,00000000000000000000182c,,,,LATAM,social,firefox,web,"{""synthetic"": true, ""amount"": 22.58}"
evt_000000435,account_recovery,2025-01-05 21:21:00,au_010629,ku_015041,dev_021039,ck_018374,sess_0016356,ip_024767,bf_022676,,000000000000000000003ac0,,,,LATAM,social,safari,web,"{""synthetic"": true, ""amount"": 37.81}"
evt_000000445,account_recovery,2025-04-27 03:55:00,,ku_010348,,ck_014310,sess_0026706,ip_012818,bf_013866,,00000000000000000000286b,,,,LATAM,organic,safari,web,"{""synthetic"": true, ""amount"": 18.28}"
evt_000000541,account_recovery,2025-01-15 16:45:00,au_014241,ku_006504,dev_020028,ck_022297,sess_0074678,ip_015413,bf_026782,,000000000000000000001967,,,,EU,paid_search,edge,web,"{""synthetic"": true, ""amount"": 9.15}"
evt_000000623,account_recovery,2025-03-24 06:43:00,au_007058,ku_014820,dev_026367,ck_009245,sess_0072396,ip_025185,bf_001214,,0000000000000000000039e3,,,,NA,social,safari,web,"{""synthetic"": true, ""amount"": 18.02}"
evt_000000815,account_recovery,2025-03-27 07:37:00,au_021751,ku_019865,dev_015889,ck_002518,sess_0044712,ip_016820,bf_014101,,000000000000000000004d98,,,,EU,affiliate,safari,web,"{""synthetic"": true, ""amount"": 25.01}"
evt_000000901,account_recovery,2025-01-22 23:15:00,au_007641,ku_018881,dev_010444,ck_036065,sess_0078171,ip_018189,bf_003191,,0000000000000000000049c0,,,,LATAM,paid_search,edge,web,"{""synthetic"": true, ""amount"": 19.77}"
evt_000001058,account_recovery,2025-02-23 11:01:00,au_014251,ku_010427,dev_000433,ck_008176,sess_0023781,ip_011127,bf_000072,,0000000000000000000028ba,,,,NA,paid_search,edge,web,"{""synthetic"": true, ""amount"": 21.8}"
evt_000001064,account_recovery,2025-01-23 01:08:00,au_014082,ku_015362,dev_008082,ck_007798,sess_0039182,ip_004909,bf_009261,,000000000000000000003c01,,,,EU,organic,edge,web,"{""synthetic"": true, ""amount"": 8.37}"
evt_000001072,account_recovery,2025-02-22 22:20:00,au_015082,ku_000608,dev_013388,ck_036849,sess_0008182,ip_019117,bf_021251,,00000000000000000000025f,,,,NA,affiliate,edge,web,"{""synthetic"": true, ""amount"": 46.72}"
evt_000001459,account_recovery,2025-04-12 09:48:00,au_003526,ku_014525,dev_012098,,sess_0080163,ip_020364,bf_018470,,0000000000000000000038bc,,,,LATAM,direct,safari,web,"{""synthetic"": true, ""amount"": 51.14}"
evt_000001474,account_recovery,2025-03-10 17:12:00,au_004773,ku_018049,dev_027519,ck_000251,sess_0086056,ip_017805,bf_005192,,000000000000000000004680,,,,EU,affiliate,edge,web,"{""synthetic"": true, ""amount"": 35.48}"
evt_000001487,account_recovery,2025-03-27 05:11:00,au_008587,ku_013829,dev_017027,ck_009260,sess_0007564,ip_024186,bf_015032,,000000000000000000003604,,,,LATAM,paid_search,firefox,web,"{""synthetic"": true, ""amount"": 64.3}"
evt_000001591,account_recovery,2025-03-03 20:18:00,,ku_006573,dev_014175,ck_010368,sess_0051645,ip_020663,bf_018569,,0000000000000000000019ac,,,,EU,direct,chrome,web,"{""synthetic"": true, ""amount"": 12.75}"
evt_000001592,account_recovery,2025-04-04 20:13:00,au_009578,ku_011900,dev_008063,ck_034198,sess_0029547,ip_004078,bf_018585,,000000000000000000002e7b,,,,NA,social,firefox,web,"{""synthetic"": true, ""amount"": 25.09}"
evt_000001665,account_recovery,2025-04-18 12:30:00,au_019392,ku_013577,dev_005050,,sess_0033441,ip_003620,bf_024920,,000000000000000000003508,,,,LATAM,social,edge,web,"{""synthetic"": true, ""amount"": 50.02}"
evt_000001674,account_recovery,2025-02-20 17:40:00,au_019050,ku_003593,dev_005256,ck_021425,sess_0089088,ip_002146,bf_025578,,000000000000000000000e08,,,,LATAM,organic,firefox,web,"{""synthetic"": true, ""amount"": 97.74}"
evt_000001695,account_recovery,2025-01-07 10:44:00,au_016616,ku_009030,dev_013317,ck_016119,sess_0020689,ip_012895,bf_023270,,000000000000000000002345,,,,LATAM,direct,firefox,web,"{""synthetic"": true, ""amount"": 16.0}"
evt_000001755,account_recovery,2025-01-31 15:40:00,au_019227,ku_011854,dev_001508,ck_002567,sess_0037103,ip_015080,bf_026341,,000000000000000000002e4d,,,,NA,direct,safari,web,"{""synthetic"": true, ""amount"": 20.13}"
evt_000001756,account_recovery,2025-03-10 03:53:00,au_002660,ku_002199,dev_009308,ck_035516,sess_0067335,ip_013712,bf_005376,,000000000000000000000896,,,,APAC,direct,edge,web,"{""synthetic"": true, ""amount"": 24.1}"
