event_id,event_type,event_timestamp,anonymous_user_id,known_user_id,device_id,cookie_id,session_id,ip_id,browser_fingerprint_id,email_hash,phone_hash,payment_instrument_id,campaign_id,product_id,geo_region,channel,user_agent_family,event_source,payload
evt_000000025,cookie_reset,2025-04-23 13:51:00,au_019445,,dev_026773,ck_008875,sess_0011230,ip_012796,bf_012253,,,,,,NA,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 12.58}"
evt_000000096,cookie_reset,2025-01-18 04:15:00,,,,ck_013207,sess_0073219,ip_004629,bf_005784,,,,,,NA,social,safari,web,"{""synthetic"": true, ""amount"": 7.98}"
evt_000000509,cookie_reset,2025-04-11 00:42:00,au_013972,,dev_009464,ck_000155,sess_0043464,ip_008663,bf_009748,,,,,,LATAM,social,firefox,web,"{""synthetic"": true, ""amount"": 11.83}"
evt_000000518,cookie_reset,2025-01-08 15:48:00,au_011601,,,ck_021234,sess_0072732,ip_015608,bf_004373,,,,,,NA,paid_search,safari,web,"{""synthetic"": true, ""amount"": 8.56}"
evt_000000627,cookie_reset,2025-03-15 21:19:00,,,dev_022549,ck_004661,sess_0038635,ip_022452,bf_017471,,,,,,NA,affiliate,edge,web,"{""synthetic"": true, ""amount"": 17.64}"
evt_000000715,cookie_reset,2025-02-05 05:50:00,au_008494,,dev_000656,ck_021138,sess_0043352,ip_015556,bf_007502,,,,,,LATAM,social,edge,web,"{""synthetic"": true, ""amount"": 40.99}"
evt_000000840,cookie_reset,2025-02-19 21:10:00,,,dev_000190,,sess_0096573,ip_023124,bf_011553,,,,,,LATAM,direct,chrome,web,"{""synthetic"": true, ""amount"": 63.95}"
evt_000000992,cookie_reset,2025-03-19 23:20:00,au_001381,,dev_010724,ck_016532,sess_0098325,ip_018670,bf_012633,,,,,,LATAM,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 12.81}"
evt_000001031,cookie_reset,2025-01-10 09:17:00,,,dev_020130,ck_000033,sess_0053197,ip_021261,bf_018524,,,,,,NA,direct,edge,web,"{""synthetic"": true, ""amount"": 12.57}"
evt_000001183,cookie_reset,2025-01-31 07:37:00,au_022592,,dev_009329,ck_004192,sess_0062032,ip_017487,bf_004777,,,,,,LATAM,direct,edge,web,"{""synthetic"": true, ""amount"": 9.94}"
evt_000001293,cookie_reset,2025-03-27 17:35:00,au_002599,,dev_013504,ck_020954,sess_0021030,ip_015364,bf_015298,,,,,,NA,organic,firefox,web,"{""synthetic"": true, ""amount"": 23.26}"
evt_000001328,cookie_reset,2025-02-13 04:05:00,au_001211,,dev_015568,ck_006784,sess_0010913,ip_023174,bf_011208,,,,,,LATAM,direct,edge,web,"{""synthetic"": true, ""amount"": 63.91}"
evt_000001498,cookie_reset,2025-04-19 15:34:00,,,dev_015671,ck_014410,sess_0097643,ip_018989,bf_009883,,,,,,APAC,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 15.81}"
evt_000001506,cookie_reset,2025-01-18 23:24:00,au_001507,,dev_007938,ck_008457,sess_0016145,ip_011615,bf_027601,,,,,,EU,social,edge,web,"{""synthetic"": true, ""amount"": 12.63}"
evt_000001836,cookie_reset,2025-04-17 05:28:00,au_019537,,dev_009600,ck_030696,sess_0082748,ip_009629,bf_016171,,,,,,EU,organic,chrome,web,"{""synthetic"": true, ""amount"": 18.99}"
evt_000001929,cookie_reset,2025-01-15 22:35:00,au_014271,,dev_009319,ck_000059,sess_0010086,ip_012135,bf_024519,,,,,,LATAM,paid_search,firefox,web,"{""synthetic"": true, ""amount"": 12.03}"
evt_000001990,cookie_reset,2025-02-09 14:06:00,,,dev_020508,ck_029680,sess_0075214,ip_016759,bf_023431,,,,,,EU,paid_search,safari,web,"{""synthetic"": true, ""amount"": 18.83}"
evt_000002076,cookie_reset,2025-01-01 23:58:00,au_025315,,,ck_003663,sess_0042930,ip_024360,bf_015888,,,,,,LATAM,affiliate,safari,web,"{""synthetic"": true, ""amount"": 72.39}"
evt_000002158,cookie_reset,2025-01-08 11:13:00,au_022478,,,ck_006977,sess_0000413,ip_004048,bf_026513,,,,,,NA,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 20.28}"
evt_000002218,cookie_reset,2025-03-11 23:51:00,au_024766,,dev_010880,ck_019244,sess_0032566,ip_023356,bf_018254,,,,,,EU,organic,chrome,web,"{""synthetic"": true, ""amount"": 17.12}"
evt_000002634,cookie_reset,2025-01-28 14:20:00,au_009162,,dev_029958,,sess_0048549,ip_018248,bf_015627,,,,,,APAC,paid_search,edge,web,"{""synthetic"": true, ""amount"": 16.49}"
evt_000002763,cookie_reset,2025-04-19 02:29:00,,,,,sess_0013377,ip_003199,bf_005847,,,,,,NA,affiliate,safari,web,"{""synthetic"": true, ""amount"": 32.27}"
evt_000002834,cookie_reset,2025-01-22 18:09:00,,,dev_028164,ck_015531,sess_0044159,ip_009614,bf_019158,,,,,,EU,affiliate,edge,web,"{""synthetic"": true, ""amount"": 9.09}"
