event_id,event_type,event_timestamp,anonymous_user_id,known_user_id,device_id,cookie_id,session_id,ip_id,browser_fingerprint_id,email_hash,phone_hash,payment_instrument_id,campaign_id,product_id,geo_region,channel,user_agent_family,event_source,payload
evt_000000162,device_change,2025-04-13 20:07:00,,,dev_006348,ck_001940,sess_0010094,ip_001500,bf_026751,,,,,,EU,social,safari,web,"{""synthetic"": true, ""amount"": 26.6}"
evt_000000163,device_change,2025-01-03 12:57:00,au_003721,,dev_001076,ck_018826,sess_0048822,ip_012749,bf_015378,,,,,,NA,paid_search,safari,web,"{""synthetic"": true, ""amount"": 39.0}"
evt_000000196,device_change,2025-01-08 00:51:00,au_010143,,dev_008351,ck_004789,sess_0056890,ip_009934,bf_004743,,,,,,LATAM,organic,safari,web,"{""synthetic"": true, ""amount"": 40.17}"
evt_000000214,device_change,2025-02-26 08:12:00,au_019287,,,ck_020321,sess_0001680,ip_022645,bf_001521,,,,,,APAC,direct,edge,web,"{""synthetic"": true, ""amount"": 63.15}"
evt_000000242,device_change,2025-04-20 21:36:00,au_000133,,,ck_013303,sess_0066547,ip_015420,bf_022155,,,,,,LATAM,social,firefox,web,"{""synthetic"": true, ""amount"": 34.8}"
evt_000000271,device_change,2025-01-28 11:28:00,au_023068,,dev_001899,,sess_0015243,ip_012706,bf_011757,,,,,,NA,direct,firefox,web,"{""synthetic"": true, ""amount"": 39.61}"
evt_000000303,device_change,2025-03-20 10:16:00,,,dev_013800,ck_008034,sess_0043921,ip_004125,bf_020203,,,,,,LATAM,paid_search,firefox,web,"{""synthetic"": true, ""amount"": 16.38}"
evt_000000393,device_change,2025-02-16 16:59:00,au_001624,,dev_018190,,sess_0006736,ip_001726,bf_010291,,,,,,LATAM,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 20.47}"
evt_000000400,device_change,2025-04-19 16:11:00,,,dev_018232,ck_035292,sess_0050529,ip_008688,bf_002074,,,,,,EU,direct,chrome,web,"{""synthetic"": true, ""amount"": 16.49}"
evt_000000409,device_change,2025-02-26 23:39:00,au_027839,,,,sess_0039149,ip_015560,bf_006439,,,,,,LATAM,organic,safari,web,"{""synthetic"": true, ""amount"": 119.73}"
evt_000000640,device_change,2025-02-10 07:32:00,au_013185,,dev_022684,ck_034050,sess_0027620,ip_007602,bf_002918,,,,,,APAC,affiliate,safari,web,"{""synthetic"": true, ""amount"": 48.96}"
evt_000000683,device_change,2025-04-09 16:36:00,,,dev_022889,ck_016815,sess_0039909,ip_002331,bf_004735,,,,,,NA,paid_search,edge,web,"{""synthetic"": true, ""amount"": 65.84}"
evt_000000732,device_change,2025-02-03 07:55:00,au_011376,,dev_008041,ck_013410,sess_0038183,ip_002832,bf_012265,,,,,,NA,organic,safari,web,"{""synthetic"": true, ""amount"": 50.07}"
evt_000000734,device_change,2025-04-23 21:26:00,au_026930,,dev_010620,,sess_0007577,ip_021304,bf_027482,,,,,,NA,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 35.45}"
evt_000000781,device_change,2025-02-20 01:41:00,au_022684,,dev_017837,ck_007921,sess_0087666,ip_006011,bf_001532,,,,,,EU,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 19.62}"
evt_000000818,device_change,2025-03-04 21:31:00,au_002829,,dev_004800,ck_003162,sess_0085181,ip_001415,bf_023276,,,,,,LATAM,direct,edge,web,"{""synthetic"": true, ""amount"": 34.83}"
evt_000000839,device_change,2025-03-14 23:09:00,,,dev_007844,ck_037246,sess_0002720,ip_023484,bf_007300,,,,,,NA,direct,firefox,web,"{""synthetic"": true, ""amount"": 106.31}"
evt_000000961,device_change,2025-03-01 14:47:00,au_006232,,dev_008261,ck_011891,sess_0019434,ip_009316,bf_010832,,,,,,EU,affiliate,edge,web,"{""synthetic"": true, ""amount"": 17.39}"
evt_000000996,device_change,2025-04-20 19:37:00,au_018796,,dev_011473,ck_009071,sess_0041830,ip_018935,bf_019254,,,,,,NA,organic,chrome,web,"{""synthetic"": true, ""amount"": 32.63}"
evt_000001104,device_change,2025-02-09 15:25:00,au_000864,,dev_029932,ck_006954,sess_0081893,ip_005848,bf_008647,,,,,,NA,social,chrome,web,"{""synthetic"": true, ""amount"": 29.33}"
evt_000001125,device_change,2025-03-11 11:33:00,au_022300,,dev_017584,,sess_0056690,ip_005810,bf_022744,,,,,,LATAM,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 34.04}"
evt_000001143,device_change,2025-04-09 03:03:00,au_015059,,dev_015835,ck_005209,sess_0004676,ip_013304,bf_014779,,,,,,NA,direct,edge,web,"{""synthetic"": true, ""amount"": 25.14}"
evt_000001144,device_change,2025-01-12 12:38:00,au_000668,,dev_026665,ck_011387,sess_0022074,ip_013903,bf_006100,,,,,,LATAM,affiliate,safari,web,"{""synthetic"": true, ""amount"": 43.43}"
evt_000001228,device_change,2025-02-26 08:11:00,au_016349,,dev_008537,,sess_0080028,ip_005846,bf_026984,,,,,,EU,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 53.12}"
evt_000001245,device_change,2025-02-17 05:59:00,au_008507,,dev_007878,,sess_0008086,ip_018982,bf_018733,,,,,,EU,direct,chrome,web,"{""synthetic"": true, ""amount"": 28.2}"
evt_000001251,device_change,2025-02-06 09:21:00,au_003372,,,ck_003888,sess_0012921,ip_006561,bf_004515,,,,,,LATAM,affiliate,edge,web,"{""synthetic"": true, ""amount"": 50.69}"
evt_000001287,device_change,2025-03-27 01:50:00,au_009379,,,,sess_0049691,ip_014977,bf_017205,,,,,,LATAM,social,edge,web,"{""synthetic"": true, ""amount"": 3.76}"
evt_000001291,device_change,2025-03-14 22:24:00,,,dev_028980,ck_003370,sess_0011977,ip_024054,bf_027330,,,,,,APAC,organic,chrome,web,"{""synthetic"": true, ""amount"": 27.63}"
evt_000001309,device_change,2025-01-10 02:30:00,au_010649,,dev_009811,,sess_0034141,ip_022076,bf_027905,,,,,,NA,organic,chrome,web,"{""synthetic"": true, ""amount"": 66.78}"
evt_000001312,device_change,2025-04-05 02:05:00,au_006206,,dev_003206,ck_008856,sess_0064313,ip_024564,bf_007743,,,,,,APAC,direct,firefox,web,"{""synthetic"": true, ""amount"": 24.93}"
evt_000001330,device_change,2025-02-24 05:34:00,au_009570,,dev_016747,ck_031649,sess_0049954,ip_023557,bf_022331,,,,,,NA,organic,edge,web,"{""synthetic"": true, ""amount"": 4.7}"
evt_000001366,device_change,2025-04-26 12:02:00,,,dev_010677,ck_001469,sess_0067051,ip_023652,bf_025455,,,,,,EU,social,edge,web,"{""synthetic"": true, ""amount"": 21.66}"
evt_000001384,device_change,2025-01-31 16:36:00,au_027785,,dev_006186,ck_012702,sess_0093245,ip_020374,bf_009843,,,,,,NA,organic,firefox,web,"{""synthetic"": true, ""amount"": 13.74}"
evt_000001413,device_change,2025-02-03 14:17:00,au_000053,,dev_009673,ck_007483,sess_0053173,ip_012199,bf_010672,,,,,,APAC,organic,chrome,web,"{""synthetic"": true, ""amount"": 23.22}"
evt_000001426,device_change,2025-02-12 06:16:00,au_002160,,dev_031294,ck_031939,sess_0096755,ip_017962,bf_020033,,,,,,NA,affiliate,edge,web,"{""synthetic"": true, ""amount"": 26.52}"
evt_000001575,device_change,2025-04-05 01:29:00,,,dev_002805,ck_008015,sess_0007960,ip_016787,bf_002727,,,,,,LATAM,affiliate,safari,web,"{""synthetic"": true, ""amount"": 34.45}"
evt_000001604,device_change,2025-02-07 19:54:00,au_021542,,dev_015023,ck_002289,sess_0078620,ip_003199,bf_017350,,,,,,NA,social,safari,web,"{""synthetic"": true, ""amount"": 9.39}"
evt_000001672,device_change,2025-03-21 12:02:00,au_012612,,dev_003599,ck_026610,sess_0046533,ip_000734,bf_021060,,,,,,EU,social,safari,web,"{""synthetic"": true, ""amount"": 27.69}"
evt_000001684,device_change,2025-01-25 16:34:00,,,,ck_017477,sess_0000743,ip_016855,bf_003383,,,,,,LATAM,direct,edge,web,"{""synthetic"": true, ""amount"": 27.03}"
evt_000001762,device_change,2025-03-24 14:26:00,,,dev_003322,,sess_0064807,ip_009137,bf_001816,,,,,,LATAM,direct,safari,web,"{""synthetic"": true, ""amount"": 20.03}"
evt_000001824,device_change,2025-04-26 13:32:00,au_014353,,dev_012636,,sess_0091384,ip_005404,bf_025053,,,,,,EU,organic,safari,web,"{""synthetic"": true, ""amount"": 55.56}"
evt_000001827,device_change,2025-02-02 15:33:00,au_002159,,dev_014174,,sess_0042502,ip_002016,bf_016935,,,,,,LATAM,affiliate,edge,web,"{""synthetic"": true, ""amount"": 81.64}"
evt_000001838,device_change,2025-03-07 21:52:00,au_000022,,,ck_000513,sess_0051307,ip_014629,bf_026935,,,,,,APAC,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 20.0}"
