event_id,event_type,event_timestamp,anonymous_user_id,known_user_id,device_id,cookie_id,session_id,ip_id,browser_fingerprint_id,email_hash,phone_hash,payment_instrument_id,campaign_id,product_id,geo_region,channel,user_agent_family,event_source,payload
evt_000000012,payment,2025-04-20 15:57:00,au_000278,ku_000380,dev_006859,ck_002524,sess_0055026,ip_023941,bf_024131,,,pay_010414,,,EU,social,chrome,web,"{""synthetic"": true, ""amount"": 46.94}"
evt_000000073,payment,2025-01-25 22:08:00,au_013910,ku_007612,dev_002900,ck_023445,sess_0088470,ip_004787,bf_018899,,,,,,LATAM,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 54.36}"
evt_000000091,payment,2025-04-02 14:15:00,,ku_015845,dev_026805,ck_035486,sess_0089710,ip_011697,bf_010323,,,,,,EU,paid_search,firefox,web,"{""synthetic"": true, ""amount"": 34.57}"
evt_000000115,payment,2025-04-30 02:10:00,au_005687,ku_006748,dev_029990,ck_020657,sess_0058337,ip_004637,bf_005605,,,pay_008710,,,LATAM,social,chrome,web,"{""synthetic"": true, ""amount"": 31.99}"
evt_000000127,payment,2025-01-09 19:46:00,au_019624,ku_005346,dev_013900,ck_015223,sess_0038011,ip_023318,bf_027875,,,pay_018809,,,EU,organic,safari,web,"{""synthetic"": true, ""amount"": 16.47}"
evt_000000232,payment,2025-04-05 04:49:00,au_011891,ku_011433,dev_004768,ck_001531,sess_0007610,ip_019644,bf_025067,,,,,,EU,direct,firefox,web,"{""synthetic"": true, ""amount"": 55.06}"
evt_000000274,payment,2025-02-05 19:24:00,,ku_014057,dev_012229,ck_013789,sess_0050683,ip_014349,bf_013967,,,,,,EU,organic,firefox,web,"{""synthetic"": true, ""amount"": 41.11}"
evt_000000299,payment,2025-01-21 20:05:00,au_006967,ku_014759,dev_000920,ck_019132,sess_0021076,ip_012268,bf_017139,,,,,,NA,organic,safari,web,"{""synthetic"": true, ""amount"": 31.92}"
evt_000000300,payment,2025-01-02 03:59:00,au_002573,ku_014944,dev_011919,ck_014583,sess_0069417,ip_022410,bf_008234,,,pay_018922,,,EU,paid_search,edge,web,"{""synthetic"": true, ""amount"": 17.57}"
evt_000000305,payment,2025-03-26 20:02:00,,ku_008705,,ck_024435,sess_0087648,ip_002488,bf_009225,,,,,,EU,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 11.76}"
evt_000000321,payment,2025-04-10 19:25:00,au_020578,ku_004653,dev_003527,ck_017117,sess_0068587,ip_007845,bf_006903,,,,,,EU,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 30.97}"
evt_000000325,payment,2025-02-28 21:18:00,au_007926,ku_014494,dev_014719,ck_031692,sess_0056390,ip_021271,bf_000920,,,pay_013257,,,APAC,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 20.7}"
evt_000000341,payment,2025-01-29 04:00:00,au_012149,ku_018463,,ck_005769,sess_0096711,ip_020914,bf_022926,,,pay_000207,,,APAC,paid_search,safari,web,"{""synthetic"": true, ""amount"": 24.62}"
evt_000000359,payment,2025-02-16 01:38:00,au_011089,ku_019420,dev_016385,ck_008778,sess_0078934,ip_000156,bf_024497,,,pay_006833,,,LATAM,social,firefox,web,"{""synthetic"": true, ""amount"": 24.27}"
evt_000000365,payment,2025-02-16 06:14:00,au_004599,ku_018331,dev_008092,,sess_0078509,ip_014199,bf_017369,,,pay_006857,,,APAC,paid_search,firefox,web,"{""synthetic"": true, ""amount"": 21.51}"
evt_000000398,payment,2025-04-12 11:08:00,,ku_011554,,ck_026330,sess_0048290,ip_009108,bf_023588,,,pay_003501,,,APAC,organic,edge,web,"{""synthetic"": true, ""amount"": 46.33}"
evt_000000404,payment,2025-01-20 21:05:00,au_022703,ku_005151,dev_021380,ck_006975,sess_0000200,ip_009391,bf_021251,,,pay_000089,,,NA,social,safari,web,"{""synthetic"": true, ""amount"": 20.31}"
evt_000000461,payment,2025-01-09 14:11:00,au_021297,ku_018679,dev_017809,ck_000830,sess_0008489,ip_006784,bf_009299,,,pay_000470,,,APAC,social,firefox,web,"{""synthetic"": true, ""amount"": 44.44}"
evt_000000516,payment,2025-01-07 05:52:00,au_006058,ku_000907,dev_002581,ck_020241,sess_0042563,ip_005244,bf_025008,,,,,,EU,organic,safari,web,"{""synthetic"": true, ""amount"": 25.38}"
evt_000000522,payment,2025-04-28 08:41:00,au_013186,ku_012738,dev_005819,ck_030289,sess_0018482,ip_017103,bf_004393,,,,,,LATAM,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 45.2}"
evt_000000555,payment,2025-04-03 21:09:00,au_005437,ku_000330,dev_000476,ck_002080,sess_0041218,ip_011960,bf_022177,,,pay_017593,,,EU,affiliate,safari,web,"{""synthetic"": true, ""amount"": 23.85}"
evt_000000580,payment,2025-04-29 11:50:00,,ku_003536,dev_020713,ck_002696,sess_0089559,ip_019553,bf_017821,,,pay_011837,,,NA,organic,edge,web,"{""synthetic"": true, ""amount"": 37.73}"
evt_000000655,payment,2025-01-01 02:40:00,au_015545,ku_017421,,,sess_0036201,ip_011117,bf_004711,,,pay_021144,,,NA,organic,edge,web,"{""synthetic"": true, ""amount"": 21.1}"
evt_000000664,payment,2025-03-17 18:55:00,au_022639,ku_016104,dev_003716,ck_014949,sess_0036096,ip_014932,bf_025965,,,pay_010131,,,EU,direct,chrome,web,"{""synthetic"": true, ""amount"": 21.82}"
evt_000000717,payment,2025-03-09 22:03:00,au_007286,ku_004726,dev_000504,ck_024545,sess_0021520,ip_017038,bf_021618,,,pay_000849,,,LATAM,paid_search,edge,web,"{""synthetic"": true, ""amount"": 29.43}"
evt_000000764,payment,2025-04-12 18:21:00,au_022337,ku_017321,dev_024981,ck_009214,sess_0036046,ip_002449,bf_019808,,,,,,APAC,organic,chrome,web,"{""synthetic"": true, ""amount"": 18.6}"
evt_000000795,payment,2025-01-23 19:16:00,au_006378,ku_011831,dev_000955,ck_000491,sess_0005186,ip_001016,bf_012257,,,pay_019057,,,NA,direct,safari,web,"{""synthetic"": true, ""amount"": 24.91}"
evt_000000805,payment,2025-03-22 10:52:00,au_002976,ku_004010,dev_012912,ck_036977,sess_0095630,ip_009235,bf_014154,,,,,,LATAM,social,edge,web,"{""synthetic"": true, ""amount"": 11.66}"
evt_000000809,payment,2025-01-04 00:34:00,au_023844,ku_001271,dev_010184,ck_027627,sess_0055771,ip_013912,bf_001228,,,pay_017303,,,EU,organic,chrome,web,"{""synthetic"": true, ""amount"": 19.72}"
evt_000000810,payment,2025-04-14 23:28:00,au_014173,ku_016946,dev_029742,ck_008658,sess_0001828,ip_000931,bf_004477,,,pay_020921,,,APAC,paid_search,edge,web,"{""synthetic"": true, ""amount"": 29.35}"
evt_000000828,payment,2025-02-20 21:50:00,au_007714,ku_018514,,ck_018153,sess_0056499,ip_005134,bf_010013,,,pay_011162,,,NA,organic,safari,web,"{""synthetic"": true, ""amount"": 10.81}"
evt_000000876,payment,2025-03-24 18:29:00,au_006526,ku_009060,dev_015243,ck_026329,sess_0007184,ip_019722,bf_014448,,,,,,APAC,organic,chrome,web,"{""synthetic"": true, ""amount"": 14.78}"
evt_000000896,payment,2025-04-05 20:30:00,,ku_002005,dev_031030,ck_002485,sess_0026144,ip_009743,bf_019273,,,pay_010681,,,APAC,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 20.48}"
evt_000000899,payment,2025-01-23 16:27:00,au_014727,ku_000390,dev_018365,ck_024105,sess_0050502,ip_015127,bf_025418,,,pay_002715,,,LATAM,organic,safari,web,"{""synthetic"": true, ""amount"": 14.21}"
evt_000000947,payment,2025-02-08 14:07:00,au_022733,ku_012853,,ck_020549,sess_0044992,ip_018880,bf_004149,,,pay_011549,,,EU,direct,chrome,web,"{""synthetic"": true, ""amount"": 75.54}"
evt_000000951,payment,2025-01-03 10:53:00,au_002795,ku_001064,dev_014706,ck_026024,sess_0027733,ip_020726,bf_014288,,,,,,APAC,paid_search,safari,web,"{""synthetic"": true, ""amount"": 9.49}"
evt_000001007,payment,2025-01-14 12:11:00,au_006255,ku_003830,dev_005556,ck_010394,sess_0055307,ip_020851,bf_019629,,,pay_004525,,,EU,organic,chrome,web,"{""synthetic"": true, ""amount"": 42.78}"
evt_000001009,payment,2025-03-29 21:27:00,au_012663,ku_003266,dev_013870,ck_001098,sess_0085036,ip_021616,bf_019151,,,pay_007546,,,APAC,paid_search,safari,web,"{""synthetic"": true, ""amount"": 17.4}"
evt_000001015,payment,2025-02-26 05:23:00,au_003555,ku_000821,dev_030906,ck_007237,sess_0096732,ip_016847,bf_022877,,,pay_001226,,,NA,direct,safari,web,"{""synthetic"": true, ""amount"": 40.33}"
evt_000001027,payment,2025-01-09 05:30:00,au_001449,ku_007033,dev_028700,ck_002169,sess_0043492,ip_018458,bf_020041,,,pay_018477,,,LATAM,social,chrome,web,"{""synthetic"": true, ""amount"": 27.55}"
evt_000001034,payment,2025-04-02 09:18:00,au_003797,ku_016626,dev_018707,ck_014642,sess_0010840,ip_006218,bf_017897,,,pay_018963,,,APAC,affiliate,safari,web,"{""synthetic"": true, ""amount"": 34.82}"
evt_000001035,payment,2025-04-16 18:39:00,au_011829,ku_005011,dev_010140,ck_019629,sess_0014508,ip_015968,bf_022571,,,pay_002833,,,EU,paid_search,firefox,web,"{""synthetic"": true, ""amount"": 25.09}"
evt_000001074,payment,2025-04-24 05:40:00,au_000141,ku_015838,dev_004809,ck_026731,sess_0073630,ip_015846,bf_008918,,,pay_004976,,,LATAM,affiliate,edge,web,"{""synthetic"": true, ""amount"": 27.08}"
evt_000001086,payment,2025-01-10 11:32:00,,ku_006277,dev_006179,ck_004309,sess_0023206,ip_020776,bf_005235,,,pay_000561,,,LATAM,direct,safari,web,"{""synthetic"": true, ""amount"": 35.63}"
evt_000001099,payment,2025-03-31 15:04:00,au_005579,ku_005103,dev_001079,ck_024831,sess_0012232,ip_018866,bf_027144,,,pay_007819,,,EU,organic,safari,web,"{""synthetic"": true, ""amount"": 10.96}"
evt_000001145,payment,2025-03-17 19:44:00,au_007109,ku_011427,dev_008574,ck_027912,sess_0026384,ip_008660,bf_007898,,,pay_000252,,,LATAM,social,edge,web,"{""synthetic"": true, ""amount"": 31.85}"
evt_000001153,payment,2025-01-04 16:01:00,,ku_011175,dev_003406,,sess_0019029,ip_009981,bf_021358,,,pay_006790,,,LATAM,organic,edge,web,"{""synthetic"": true, ""amount"": 14.85}"
evt_000001167,payment,2025-02-15 14:09:00,au_002728,ku_006832,dev_014273,ck_015830,sess_0032075,ip_022435,bf_002557,,,,,,NA,paid_search,edge,web,"{""synthetic"": true, ""amount"": 13.43}"
evt_000001175,payment,2025-02-26 02:53:00,au_002110,ku_006547,dev_021514,ck_026176,sess_0070114,ip_017243,bf_014071,,,,,,LATAM,affiliate,edge,web,"{""synthetic"": true, ""amount"": 16.9}"
evt_000001184,payment,2025-04-19 14:51:00,,ku_016158,,,sess_0000836,ip_013534,bf_022583,,,pay_007235,,,EU,direct,firefox,web,"{""synthetic"": true, ""amount"": 21.26}"
evt_000001201,payment,2025-01-12 05:44:00,,ku_013289,dev_007549,,sess_0021543,ip_021745,bf_013489,,,,,,NA,direct,safari,web,"{""synthetic"": true, ""amount"": 20.25}"
evt_000001207,payment,2025-02-14 04:04:00,au_014842,ku_013277,dev_003227,ck_008775,sess_0056139,ip_025554,bf_001022,,,pay_013445,,,EU,affiliate,safari,web,"{""synthetic"": true, ""amount"": 53.48}"
evt_000001209,payment,2025-04-17 18:18:00,au_009144,ku_013641,dev_018864,ck_011819,sess_0090645,ip_010936,bf_005555,,,pay_006344,,,NA,affiliate,edge,web,"{""synthetic"": true, ""amount"": 16.34}"
evt_000001213,payment,2025-04-28 06:33:00,au_005142,ku_003516,dev_000719,ck_015049,sess_0055893,ip_019425,bf_014362,,,,,,NA,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 17.66}"
evt_000001220,payment,2025-03-03 17:23:00,au_026133,ku_005172,dev_005196,ck_006746,sess_0082804,ip_011266,bf_009411,,,pay_012635,,,APAC,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 44.44}"
evt_000001329,payment,2025-04-16 17:17:00,au_006749,ku_005902,,ck_031684,sess_0056341,ip_006548,bf_023577,,,,,,APAC,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 40.84}"
evt_000001369,payment,2025-02-17 23:39:00,,ku_011341,dev_002643,ck_010546,sess_0019193,ip_021652,bf_006158,,,pay_004169,,,NA,organic,chrome,web,"{""synthetic"": true, ""amount"": 8.39}"
evt_000001467,payment,2025-04-09 02:04:00,au_000198,ku_005168,dev_003164,ck_003509,sess_0014504,ip_024918,bf_014519,,,pay_001631,,,APAC,social,safari,web,"{""synthetic"": true, ""amount"": 12.83}"
evt_000001489,payment,2025-04-03 06:54:00,au_003626,ku_008068,dev_005063,ck_015807,sess_0013525,ip_005902,bf_024448,,,pay_000200,,,NA,organic,firefox,web,"{""synthetic"": true, ""amount"": 16.68}"
evt_000001504,payment,2025-03-26 03:22:00,au_005192,ku_001245,dev_005980,ck_002930,sess_0076009,ip_022538,bf_007912,,,pay_006740,,,NA,social,firefox,web,"{""synthetic"": true, ""amount"": 21.35}"
evt_000001586,payment,2025-04-27 00:53:00,,ku_001049,dev_005870,ck_000099,sess_0054755,ip_025356,bf_001802,,,,,,APAC,direct,chrome,web,"{""synthetic"": true, ""amount"": 15.18}"
evt_000001590,payment,2025-04-16 02:25:00,au_004579,ku_005940,dev_025003,,sess_0067737,ip_011786,bf_026323,,,pay_009088,,,LATAM,organic,chrome,web,"{""synthetic"": true, ""amount"": 33.56}"
evt_000001687,payment,2025-02-14 17:08:00,au_022886,ku_008304,dev_004457,ck_003149,sess_0002671,ip_016827,bf_020710,,,pay_012596,,,APAC,affiliate,firefox,web,"{""synthetic"": true, ""amount"": 30.03}"
