event_id,event_type,event_timestamp,anonymous_user_id,known_user_id,device_id,cookie_id,session_id,ip_id,browser_fingerprint_id,email_hash,phone_hash,payment_instrument_id,campaign_id,product_id,geo_region,channel,user_agent_family,event_source,payload
evt_000000048,subscription,2025-04-19 17:15:00,,ku_018820,dev_001500,ck_035900,sess_0062941,ip_008409,bf_004267,,,pay_005600,cmp_031,prd_0217,NA,social,chrome,web,"{""synthetic"": true, ""amount"": 10.58}"
evt_000000061,subscription,2025-03-19 09:48:00,au_008223,ku_002943,dev_015722,ck_011318,sess_0016629,ip_016822,bf_001676,,,pay_007699,cmp_040,prd_0349,LATAM,organic,edge,web,"{""synthetic"": true, ""amount"": 55.37}"
evt_000000068,subscription,2025-04-10 16:50:00,au_013169,ku_017517,dev_005096,ck_007127,sess_0071666,ip_012183,bf_015609,,,pay_010572,cmp_036,prd_0265,LATAM,direct,edge,web,"{""synthetic"": true, ""amount"": 39.78}"
evt_000000074,subscription,2025-03-18 22:16:00,,ku_013088,dev_004903,ck_014973,sess_0070731,ip_014361,bf_022499,,,pay_shared_002,cmp_013,prd_0455,EU,affiliate,edge,web,"{""synthetic"": true, ""amount"": 19.54}"
evt_000000083,subscription,2025-03-06 23:47:00,au_025579,ku_016311,dev_010502,ck_011555,sess_0059595,ip_017509,bf_020762,,,pay_006036,cmp_037,prd_0210,NA,organic,chrome,web,"{""synthetic"": true, ""amount"": 11.2}"
evt_000000117,subscription,2025-01-16 14:38:00,au_014371,ku_006805,dev_005593,ck_005620,sess_0050182,ip_010043,bf_000042,,,,cmp_025,prd_0007,EU,social,firefox,web,"{""synthetic"": true, ""amount"": 12.02}"
evt_000000166,subscription,2025-04-22 11:47:00,au_022902,ku_019345,dev_028608,ck_013851,sess_0000287,ip_024760,bf_008174,,,,cmp_002,prd_0384,APAC,direct,firefox,web,"{""synthetic"": true, ""amount"": 37.49}"
evt_000000205,subscription,2025-03-03 15:14:00,au_025605,ku_006231,dev_019763,,sess_0050961,ip_018591,bf_000411,,,,cmp_020,prd_0178,EU,organic,edge,web,"{""synthetic"": true, ""amount"": 18.55}"
evt_000000243,subscription,2025-01-11 16:49:00,,ku_011611,dev_020096,,sess_0025813,ip_022586,bf_008006,,,pay_016927,cmp_006,prd_0042,NA,paid_search,chrome,web,"{""synthetic"": true, ""amount"": 50.58}"
evt_000000256,subscription,2025-04-17 07:05:00,au_022233,ku_010453,dev_006551,ck_031741,sess_0004329,ip_016617,bf_027945,,,pay_003937,cmp_021,prd_0250,EU,affiliate,safari,web,"{""synthetic"": true, ""amount"": 37.19}"
evt_000000290,subscription,2025-04-05 01:19:00,,ku_005553,dev_002258,ck_022179,sess_0075706,ip_023552,bf_011676,,,,cmp_039,prd_0138,LATAM,paid_search,edge,web,"{""synthetic"": true, ""amount"": 9.43}"
evt_000000349,subscription,2025-03-01 21:18:00,au_018225,ku_000740,dev_012155,ck_005596,sess_0076288,ip_024502,bf_021434,,,pay_012440,cmp_004,prd_0296,EU,direct,firefox,web,"{""synthetic"": true, ""amount"": 41.95}"
evt_000000362,subscription,2025-03-23 13:02:00,au_010989,ku_002386,dev_031349,ck_017358,sess_0029875,ip_016734,bf_016632,,,pay_007862,cmp_016,prd_0276,LATAM,organic,firefox,web,"{""synthetic"": true, ""amount"": 32.6}"
