event_id,event_type,event_timestamp,anonymous_user_id,known_user_id,device_id,cookie_id,session_id,ip_id,browser_fingerprint_id,email_hash,phone_hash,payment_instrument_id,campaign_id,product_id,geo_region,channel,user_agent_family,event_source,payload
evt_000000011,support_ticket,2025-01-01 03:14:00,au_010262,ku_012160,dev_020261,ck_000587,sess_0051350,ip_022324,bf_011998,,,,,,APAC,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 32.77}"
evt_000000018,support_ticket,2025-04-21 13:08:00,au_017628,ku_010481,dev_006817,ck_004440,sess_0098030,ip_013657,bf_016500,,,,,,APAC,affiliate,chrome,web,"{""synthetic"": true, ""amount"": 5.71}"
evt_000000022,support_ticket,2025-03-16 23:46:00,,ku_004977,dev_019753,ck_035311,sess_0028088,ip_006140,bf_015472,,,,,,APAC,affiliate,safari,web,"{""synthetic"": true, ""amount"": 22.89}"
evt_000000024,support_ticket,2025-04-03 09:42:00,,ku_004021,,ck_019864,sess_0044402,ip_018454,bf_010576,,,,,,EU,direct,chrome,web,"{""synthetic"": true, ""amount"": 137.23}"
evt_000000102,support_ticket,2025-02-15 18:41:00,au_003504,ku_001111,dev_021400,ck_026187,sess_0077691,ip_008704,bf_018481,,,,,,EU,social,chrome,web,"{""synthetic"": true, ""amount"": 65.0}"
evt_000000109,support_ticket,2025-03-17 06:14:00,,ku_011620,,,sess_0069928,ip_021396,bf_027938,,,,,,APAC,affiliate,edge,web,"{""synthetic"": true, ""amount"": 10.97}"
evt_000000120,support_ticket,2025-04-25 15:04:00,au_007566,ku_018449,dev_003123,ck_022689,sess_0082354,ip_008684,bf_004997,,,,,,APAC,direct,firefox,web,"{""synthetic"": true, ""amount"": 28.88}"
evt_000000130,support_ticket,2025-03-28 03:40:00,au_007116,ku_016246,,ck_009627,sess_0073746,ip_009255,bf_000323,,,,,,LATAM,direct,safari,web,"{""synthetic"": true, ""amount"": 13.55}"
evt_000000145,support_ticket,2025-02-17 20:16:00,au_016737,ku_017736,dev_000340,ck_004954,sess_0087105,ip_025775,bf_001752,,,,,,NA,social,edge,web,"{""synthetic"": true, ""amount"": 17.07}"
evt_000000147,support_ticket,2025-03-28 22:56:00,,ku_013467,dev_001471,ck_013788,sess_0023205,ip_005094,bf_024277,,,,,,APAC,social,chrome,web,"{""synthetic"": true, ""amount"": 47.74}"
