cluster_id,real_identity_id,known_user_id,cluster_size,edge_count,identity_confidence_score,explainability
cluster_000001,rid_000001,ku_000001,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000002,rid_000002,ku_000002,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000003,rid_000003,ku_000003,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000004,rid_000004,ku_000004,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000005,rid_000005,ku_000005,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000006,rid_000006,ku_000006,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000007,rid_000007,ku_000007,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000008,rid_000008,ku_000008,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000009,rid_000009,ku_000009,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000010,rid_000010,ku_000010,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000011,rid_000011,ku_000011,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000012,rid_000012,ku_000012,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000013,rid_000013,ku_000013,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000014,rid_000014,ku_000014,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000015,rid_000015,ku_000015,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000016,rid_000016,ku_000016,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000017,rid_000017,ku_000017,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000018,rid_000018,ku_000018,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000019,rid_000019,ku_000019,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000020,rid_000020,ku_000020,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000021,rid_000021,ku_000021,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000022,rid_000022,ku_000022,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000023,rid_000023,ku_000023,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000024,rid_000024,ku_000024,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000025,rid_000025,ku_000025,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
