real_identity_id,anonymous_user_id,first_seen_at,source_channel,cookie_reset_flag
rid_007230,au_000001,2024-11-01 00:00:00,affiliate,False
rid_005829,au_000002,2024-11-01 00:09:00,paid_search,False
rid_000192,au_000003,2024-11-01 00:18:00,paid_search,False
rid_002417,au_000004,2024-11-01 00:27:00,paid_search,False
rid_003803,au_000005,2024-11-01 00:36:00,affiliate,False
rid_002148,au_000006,2024-11-01 00:45:00,affiliate,False
rid_018999,au_000007,2024-11-01 00:54:00,direct,False
rid_000187,au_000008,2024-11-01 01:03:00,affiliate,False
rid_007775,au_000009,2024-11-01 01:12:00,direct,False
rid_019568,au_000010,2024-11-01 01:21:00,affiliate,False
rid_002351,au_000011,2024-11-01 01:30:00,affiliate,False
rid_013102,au_000012,2024-11-01 01:39:00,organic,True
rid_005004,au_000013,2024-11-01 01:48:00,paid_search,False
rid_006425,au_000014,2024-11-01 01:57:00,affiliate,False
rid_008884,au_000015,2024-11-01 02:06:00,organic,False
rid_011582,au_000016,2024-11-01 02:15:00,direct,False
rid_015218,au_000017,2024-11-01 02:24:00,direct,False
rid_012382,au_000018,2024-11-01 02:33:00,social,False
rid_000412,au_000019,2024-11-01 02:42:00,paid_search,False
rid_003659,au_000020,2024-11-01 02:51:00,social,False
rid_012551,au_000021,2024-11-01 03:00:00,organic,False
rid_005778,au_000022,2024-11-01 03:09:00,direct,False
rid_001197,au_000023,2024-11-01 03:18:00,direct,False
rid_010946,au_000024,2024-11-01 03:27:00,direct,False
rid_006341,au_000025,2024-11-01 03:36:00,social,False
rid_016796,au_000026,2024-11-01 03:45:00,paid_search,False
rid_017792,au_000027,2024-11-01 03:54:00,affiliate,True
rid_002592,au_000028,2024-11-01 04:03:00,organic,False
rid_015544,au_000029,2024-11-01 04:12:00,organic,False
rid_017167,au_000030,2024-11-01 04:21:00,affiliate,False
rid_012812,au_000031,2024-11-01 04:30:00,direct,False
rid_012180,au_000032,2024-11-01 04:39:00,paid_search,False
rid_009280,au_000033,2024-11-01 04:48:00,affiliate,False
rid_009794,au_000034,2024-11-01 04:57:00,paid_search,True
rid_001579,au_000035,2024-11-01 05:06:00,organic,False
rid_002879,au_000036,2024-11-01 05:15:00,paid_search,False
rid_013681,au_000037,2024-11-01 05:24:00,direct,True
rid_010999,au_000038,2024-11-01 05:33:00,organic,False
rid_003480,au_000039,2024-11-01 05:42:00,social,False
rid_007073,au_000040,2024-11-01 05:51:00,social,False
rid_012926,au_000041,2024-11-01 06:00:00,affiliate,False
rid_003780,au_000042,2024-11-01 06:09:00,social,False
rid_004215,au_000043,2024-11-01 06:18:00,social,False
rid_017600,au_000044,2024-11-01 06:27:00,paid_search,False
rid_009161,au_000045,2024-11-01 06:36:00,social,False
rid_009212,au_000046,2024-11-01 06:45:00,affiliate,False
rid_001468,au_000047,2024-11-01 06:54:00,paid_search,False
rid_001596,au_000048,2024-11-01 07:03:00,direct,False
rid_012990,au_000049,2024-11-01 07:12:00,social,False
rid_006043,au_000050,2024-11-01 07:21:00,affiliate,False
rid_005594,au_000051,2024-11-01 07:30:00,paid_search,False
rid_003631,au_000052,2024-11-01 07:39:00,paid_search,False
rid_015070,au_000053,2024-11-01 07:48:00,direct,False
rid_018785,au_000054,2024-11-01 07:57:00,direct,False
rid_005211,au_000055,2024-11-01 08:06:00,social,True
rid_004862,au_000056,2024-11-01 08:15:00,direct,False
rid_015594,au_000057,2024-11-01 08:24:00,direct,False
rid_010128,au_000058,2024-11-01 08:33:00,social,False
rid_015884,au_000059,2024-11-01 08:42:00,direct,True
rid_014911,au_000060,2024-11-01 08:51:00,direct,True
rid_015912,au_000061,2024-11-01 09:00:00,social,False
rid_003171,au_000062,2024-11-01 09:09:00,organic,False
rid_010704,au_000063,2024-11-01 09:18:00,social,False
rid_008750,au_000064,2024-11-01 09:27:00,paid_search,False
rid_017337,au_000065,2024-11-01 09:36:00,direct,False
rid_013066,au_000066,2024-11-01 09:45:00,organic,False
rid_014901,au_000067,2024-11-01 09:54:00,paid_search,False
rid_017640,au_000068,2024-11-01 10:03:00,organic,False
rid_013811,au_000069,2024-11-01 10:12:00,affiliate,False
rid_013083,au_000070,2024-11-01 10:21:00,direct,False
rid_010597,au_000071,2024-11-01 10:30:00,affiliate,True
rid_001602,au_000072,2024-11-01 10:39:00,social,False
rid_014417,au_000073,2024-11-01 10:48:00,direct,True
rid_006432,au_000074,2024-11-01 10:57:00,affiliate,False
rid_002466,au_000075,2024-11-01 11:06:00,organic,False
rid_007019,au_000076,2024-11-01 11:15:00,affiliate,False
rid_006941,au_000077,2024-11-01 11:24:00,direct,False
rid_007766,au_000078,2024-11-01 11:33:00,paid_search,False
rid_005602,au_000079,2024-11-01 11:42:00,affiliate,False
rid_018833,au_000080,2024-11-01 11:51:00,affiliate,False
