real_identity_id,browser_fingerprint_id,user_agent_family
rid_016238,bf_000001,chrome
rid_005800,bf_000002,safari
rid_017398,bf_000003,chrome
rid_016309,bf_000004,edge
rid_017871,bf_000005,safari
rid_014964,bf_000006,edge
rid_012164,bf_000007,firefox
rid_017027,bf_000008,firefox
rid_018578,bf_000009,firefox
rid_008498,bf_000010,chrome
rid_012993,bf_000011,chrome
rid_008172,bf_000012,chrome
rid_004435,bf_000013,chrome
rid_018355,bf_000014,edge
rid_017109,bf_000015,firefox
rid_001913,bf_000016,safari
rid_013499,bf_000017,edge
rid_000981,bf_000018,chrome
rid_012444,bf_000019,chrome
rid_003310,bf_000020,safari
rid_007047,bf_000021,chrome
rid_014844,bf_000022,safari
rid_012236,bf_000023,firefox
rid_012295,bf_000024,edge
rid_004686,bf_000025,firefox
rid_017531,bf_000026,edge
rid_013844,bf_000027,safari
rid_019542,bf_000028,edge
rid_005017,bf_000029,chrome
rid_012323,bf_000030,chrome
rid_014054,bf_000031,edge
rid_014910,bf_000032,safari
rid_008534,bf_000033,edge
rid_003125,bf_000034,firefox
rid_013872,bf_000035,edge
rid_012025,bf_000036,safari
rid_006740,bf_000037,firefox
rid_018965,bf_000038,chrome
rid_001599,bf_000039,firefox
rid_009354,bf_000040,chrome
rid_019238,bf_000041,chrome
rid_014206,bf_000042,firefox
rid_017957,bf_000043,chrome
rid_002080,bf_000044,edge
rid_007129,bf_000045,safari
rid_002395,bf_000046,safari
rid_008687,bf_000047,chrome
rid_010857,bf_000048,firefox
rid_009749,bf_000049,edge
rid_017221,bf_000050,firefox
rid_006838,bf_000051,edge
rid_014246,bf_000052,firefox
rid_002939,bf_000053,chrome
rid_012406,bf_000054,edge
rid_016567,bf_000055,firefox
rid_015999,bf_000056,edge
rid_003277,bf_000057,edge
rid_017905,bf_000058,firefox
rid_001926,bf_000059,chrome
rid_002224,bf_000060,firefox
rid_015857,bf_000061,safari
rid_001889,bf_000062,safari
rid_012815,bf_000063,chrome
rid_004516,bf_000064,chrome
rid_013248,bf_000065,edge
rid_015742,bf_000066,chrome
rid_001522,bf_000067,firefox
rid_003956,bf_000068,edge
rid_015057,bf_000069,edge
rid_010629,bf_000070,chrome
rid_000047,bf_000071,firefox
rid_007565,bf_000072,firefox
rid_002753,bf_000073,firefox
rid_017194,bf_000074,chrome
rid_012742,bf_000075,firefox
rid_013979,bf_000076,chrome
rid_017014,bf_000077,edge
rid_004793,bf_000078,edge
rid_017197,bf_000079,chrome
rid_006827,bf_000080,firefox
rid_006272,bf_000081,chrome
rid_002028,bf_000082,safari
rid_000562,bf_000083,safari
rid_008235,bf_000084,chrome
rid_000278,bf_000085,chrome
rid_007591,bf_000086,chrome
rid_003310,bf_000087,chrome
rid_016289,bf_000088,firefox
rid_007737,bf_000089,chrome
rid_004446,bf_000090,firefox
rid_017193,bf_000091,chrome
rid_009325,bf_000092,safari
rid_006627,bf_000093,chrome
rid_013910,bf_000094,edge
rid_008279,bf_000095,safari
rid_005236,bf_000096,edge
rid_013277,bf_000097,safari
rid_009601,bf_000098,safari
rid_013034,bf_000099,safari
rid_007597,bf_000100,safari
rid_005556,bf_000101,chrome
rid_003062,bf_000102,firefox
rid_014175,bf_000103,safari
rid_008263,bf_000104,safari
rid_010180,bf_000105,edge
rid_007865,bf_000106,safari
rid_011099,bf_000107,safari
rid_010775,bf_000108,firefox
rid_003280,bf_000109,edge
rid_006337,bf_000110,chrome
rid_007321,bf_000111,chrome
rid_004879,bf_000112,safari
rid_008484,bf_000113,chrome
rid_007788,bf_000114,safari
