real_identity_id,cookie_id,browser_family,cookie_created_at,reset_generation
rid_018515,ck_000001,chrome,2024-10-15 00:00:00,3
rid_009604,ck_000002,safari,2024-10-15 00:05:00,0
rid_010214,ck_000003,chrome,2024-10-15 00:10:00,0
rid_016033,ck_000004,firefox,2024-10-15 00:15:00,1
rid_013341,ck_000005,safari,2024-10-15 00:20:00,3
rid_015979,ck_000006,safari,2024-10-15 00:25:00,0
rid_015538,ck_000007,safari,2024-10-15 00:30:00,0
rid_016439,ck_000008,edge,2024-10-15 00:35:00,3
rid_003704,ck_000009,chrome,2024-10-15 00:40:00,0
rid_004961,ck_000010,safari,2024-10-15 00:45:00,0
rid_006401,ck_000011,safari,2024-10-15 00:50:00,3
rid_018678,ck_000012,safari,2024-10-15 00:55:00,2
rid_014016,ck_000013,chrome,2024-10-15 01:00:00,1
rid_018835,ck_000014,chrome,2024-10-15 01:05:00,2
rid_014541,ck_000015,firefox,2024-10-15 01:10:00,2
rid_005861,ck_000016,firefox,2024-10-15 01:15:00,2
rid_010044,ck_000017,firefox,2024-10-15 01:20:00,0
rid_008148,ck_000018,chrome,2024-10-15 01:25:00,0
rid_016178,ck_000019,chrome,2024-10-15 01:30:00,3
rid_016445,ck_000020,chrome,2024-10-15 01:35:00,3
rid_013481,ck_000021,safari,2024-10-15 01:40:00,1
rid_007288,ck_000022,edge,2024-10-15 01:45:00,1
rid_009635,ck_000023,chrome,2024-10-15 01:50:00,2
rid_006866,ck_000024,chrome,2024-10-15 01:55:00,0
rid_017147,ck_000025,edge,2024-10-15 02:00:00,0
rid_011731,ck_000026,firefox,2024-10-15 02:05:00,1
rid_000168,ck_000027,safari,2024-10-15 02:10:00,2
rid_016708,ck_000028,safari,2024-10-15 02:15:00,2
rid_009469,ck_000029,edge,2024-10-15 02:20:00,3
rid_003775,ck_000030,firefox,2024-10-15 02:25:00,2
rid_017903,ck_000031,safari,2024-10-15 02:30:00,0
rid_016489,ck_000032,firefox,2024-10-15 02:35:00,2
rid_006602,ck_000033,edge,2024-10-15 02:40:00,0
rid_016038,ck_000034,edge,2024-10-15 02:45:00,1
rid_013008,ck_000035,firefox,2024-10-15 02:50:00,2
rid_018685,ck_000036,chrome,2024-10-15 02:55:00,2
rid_011791,ck_000037,firefox,2024-10-15 03:00:00,3
rid_003511,ck_000038,safari,2024-10-15 03:05:00,2
rid_011677,ck_000039,safari,2024-10-15 03:10:00,1
rid_013679,ck_000040,safari,2024-10-15 03:15:00,1
rid_002811,ck_000041,edge,2024-10-15 03:20:00,3
rid_014586,ck_000042,edge,2024-10-15 03:25:00,2
rid_017311,ck_000043,safari,2024-10-15 03:30:00,2
rid_000614,ck_000044,firefox,2024-10-15 03:35:00,3
rid_003761,ck_000045,chrome,2024-10-15 03:40:00,0
rid_005767,ck_000046,safari,2024-10-15 03:45:00,1
rid_009269,ck_000047,chrome,2024-10-15 03:50:00,3
rid_017893,ck_000048,safari,2024-10-15 03:55:00,3
rid_012964,ck_000049,edge,2024-10-15 04:00:00,0
rid_003949,ck_000050,safari,2024-10-15 04:05:00,1
rid_001445,ck_000051,edge,2024-10-15 04:10:00,2
rid_018927,ck_000052,chrome,2024-10-15 04:15:00,2
rid_003746,ck_000053,firefox,2024-10-15 04:20:00,2
rid_009719,ck_000054,edge,2024-10-15 04:25:00,0
rid_018305,ck_000055,safari,2024-10-15 04:30:00,1
rid_001921,ck_000056,edge,2024-10-15 04:35:00,2
rid_000922,ck_000057,edge,2024-10-15 04:40:00,3
rid_011349,ck_000058,firefox,2024-10-15 04:45:00,0
rid_005403,ck_000059,firefox,2024-10-15 04:50:00,2
rid_005520,ck_000060,firefox,2024-10-15 04:55:00,3
rid_000404,ck_000061,safari,2024-10-15 05:00:00,3
rid_015679,ck_000062,edge,2024-10-15 05:05:00,1
rid_000776,ck_000063,safari,2024-10-15 05:10:00,2
rid_001508,ck_000064,chrome,2024-10-15 05:15:00,2
rid_017342,ck_000065,edge,2024-10-15 05:20:00,0
rid_004140,ck_000066,safari,2024-10-15 05:25:00,0
rid_000841,ck_000067,edge,2024-10-15 05:30:00,2
rid_018590,ck_000068,chrome,2024-10-15 05:35:00,2
rid_015819,ck_000069,safari,2024-10-15 05:40:00,2
rid_000276,ck_000070,safari,2024-10-15 05:45:00,2
rid_010966,ck_000071,chrome,2024-10-15 05:50:00,3
rid_012343,ck_000072,safari,2024-10-15 05:55:00,1
rid_003186,ck_000073,chrome,2024-10-15 06:00:00,1
rid_013274,ck_000074,safari,2024-10-15 06:05:00,0
rid_000207,ck_000075,safari,2024-10-15 06:10:00,3
rid_013436,ck_000076,firefox,2024-10-15 06:15:00,0
rid_001749,ck_000077,edge,2024-10-15 06:20:00,1
rid_006704,ck_000078,chrome,2024-10-15 06:25:00,3
rid_016922,ck_000079,chrome,2024-10-15 06:30:00,0
rid_005358,ck_000080,safari,2024-10-15 06:35:00,3
rid_009126,ck_000081,firefox,2024-10-15 06:40:00,2
rid_018391,ck_000082,firefox,2024-10-15 06:45:00,1
rid_015223,ck_000083,safari,2024-10-15 06:50:00,3
rid_017731,ck_000084,chrome,2024-10-15 06:55:00,3
rid_002763,ck_000085,safari,2024-10-15 07:00:00,3
rid_011120,ck_000086,firefox,2024-10-15 07:05:00,3
rid_016873,ck_000087,firefox,2024-10-15 07:10:00,2
rid_019802,ck_000088,firefox,2024-10-15 07:15:00,1
rid_004208,ck_000089,edge,2024-10-15 07:20:00,3
rid_005283,ck_000090,firefox,2024-10-15 07:25:00,1
rid_012147,ck_000091,safari,2024-10-15 07:30:00,1
rid_010827,ck_000092,chrome,2024-10-15 07:35:00,0
rid_012998,ck_000093,firefox,2024-10-15 07:40:00,2
rid_018417,ck_000094,firefox,2024-10-15 07:45:00,1
rid_007775,ck_000095,firefox,2024-10-15 07:50:00,2
rid_004537,ck_000096,safari,2024-10-15 07:55:00,1
rid_008770,ck_000097,safari,2024-10-15 08:00:00,1
rid_008146,ck_000098,chrome,2024-10-15 08:05:00,1
rid_001049,ck_000099,firefox,2024-10-15 08:10:00,0
rid_016731,ck_000100,chrome,2024-10-15 08:15:00,1
rid_015869,ck_000101,chrome,2024-10-15 08:20:00,3
rid_019023,ck_000102,chrome,2024-10-15 08:25:00,0
rid_002293,ck_000103,firefox,2024-10-15 08:30:00,0
rid_000020,ck_000104,edge,2024-10-15 08:35:00,0
rid_010688,ck_000105,firefox,2024-10-15 08:40:00,3
rid_005214,ck_000106,chrome,2024-10-15 08:45:00,3
rid_009650,ck_000107,chrome,2024-10-15 08:50:00,3
rid_000566,ck_000108,safari,2024-10-15 08:55:00,0
rid_009775,ck_000109,chrome,2024-10-15 09:00:00,3
rid_011514,ck_000110,firefox,2024-10-15 09:05:00,0
rid_016529,ck_000111,edge,2024-10-15 09:10:00,2
rid_003604,ck_000112,chrome,2024-10-15 09:15:00,0
rid_016898,ck_000113,edge,2024-10-15 09:20:00,2
rid_012765,ck_000114,chrome,2024-10-15 09:25:00,2
rid_016414,ck_000115,edge,2024-10-15 09:30:00,3
rid_014948,ck_000116,chrome,2024-10-15 09:35:00,2
rid_016964,ck_000117,edge,2024-10-15 09:40:00,0
rid_004338,ck_000118,firefox,2024-10-15 09:45:00,3
rid_012243,ck_000119,chrome,2024-10-15 09:50:00,0
rid_010813,ck_000120,safari,2024-10-15 09:55:00,3
rid_017572,ck_000121,safari,2024-10-15 10:00:00,0
rid_001541,ck_000122,safari,2024-10-15 10:05:00,1
rid_006793,ck_000123,edge,2024-10-15 10:10:00,3
rid_019067,ck_000124,safari,2024-10-15 10:15:00,1
rid_008843,ck_000125,firefox,2024-10-15 10:20:00,2
rid_013589,ck_000126,edge,2024-10-15 10:25:00,2
rid_015985,ck_000127,chrome,2024-10-15 10:30:00,0
rid_012820,ck_000128,chrome,2024-10-15 10:35:00,0
rid_003860,ck_000129,safari,2024-10-15 10:40:00,2
rid_016204,ck_000130,edge,2024-10-15 10:45:00,3
rid_010697,ck_000131,firefox,2024-10-15 10:50:00,3
rid_016474,ck_000132,chrome,2024-10-15 10:55:00,0
rid_006256,ck_000133,edge,2024-10-15 11:00:00,1
rid_004901,ck_000134,safari,2024-10-15 11:05:00,2
rid_008160,ck_000135,edge,2024-10-15 11:10:00,2
rid_011353,ck_000136,firefox,2024-10-15 11:15:00,0
rid_003826,ck_000137,firefox,2024-10-15 11:20:00,0
rid_006006,ck_000138,chrome,2024-10-15 11:25:00,0
rid_009847,ck_000139,safari,2024-10-15 11:30:00,0
rid_012373,ck_000140,chrome,2024-10-15 11:35:00,3
rid_018781,ck_000141,chrome,2024-10-15 11:40:00,0
rid_005883,ck_000142,chrome,2024-10-15 11:45:00,2
rid_001910,ck_000143,safari,2024-10-15 11:50:00,2
rid_012839,ck_000144,firefox,2024-10-15 11:55:00,3
rid_002368,ck_000145,edge,2024-10-15 12:00:00,3
rid_014768,ck_000146,safari,2024-10-15 12:05:00,0
rid_002149,ck_000147,edge,2024-10-15 12:10:00,2
rid_004707,ck_000148,chrome,2024-10-15 12:15:00,1
rid_002592,ck_000149,edge,2024-10-15 12:20:00,1
rid_016303,ck_000150,chrome,2024-10-15 12:25:00,2
rid_014100,ck_000151,safari,2024-10-15 12:30:00,2
rid_003628,ck_000152,edge,2024-10-15 12:35:00,3
rid_003408,ck_000153,edge,2024-10-15 12:40:00,3
rid_007542,ck_000154,chrome,2024-10-15 12:45:00,1
rid_009833,ck_000155,chrome,2024-10-15 12:50:00,2
rid_001371,ck_000156,safari,2024-10-15 12:55:00,3
rid_012161,ck_000157,firefox,2024-10-15 13:00:00,1
rid_005531,ck_000158,chrome,2024-10-15 13:05:00,3
rid_013269,ck_000159,firefox,2024-10-15 13:10:00,0
rid_015790,ck_000160,chrome,2024-10-15 13:15:00,3
rid_018284,ck_000161,safari,2024-10-15 13:20:00,2
rid_001899,ck_000162,firefox,2024-10-15 13:25:00,3
rid_007213,ck_000163,safari,2024-10-15 13:30:00,2
rid_001509,ck_000164,edge,2024-10-15 13:35:00,0
rid_017079,ck_000165,safari,2024-10-15 13:40:00,1
rid_004237,ck_000166,safari,2024-10-15 13:45:00,1
rid_019445,ck_000167,chrome,2024-10-15 13:50:00,0
rid_018980,ck_000168,safari,2024-10-15 13:55:00,1
rid_005352,ck_000169,edge,2024-10-15 14:00:00,3
rid_006825,ck_000170,safari,2024-10-15 14:05:00,2
rid_001437,ck_000171,safari,2024-10-15 14:10:00,2
rid_019259,ck_000172,chrome,2024-10-15 14:15:00,1
rid_011857,ck_000173,chrome,2024-10-15 14:20:00,1
rid_009635,ck_000174,firefox,2024-10-15 14:25:00,3
rid_015105,ck_000175,edge,2024-10-15 14:30:00,1
