real_identity_id,device_id,device_type,device_first_seen_at,shared_device_flag
rid_019902,dev_000001,tablet,2024-10-01 00:00:00,False
rid_018778,dev_000002,ios,2024-10-01 00:07:00,False
rid_019264,dev_000003,tablet,2024-10-01 00:14:00,False
rid_018953,dev_000004,tablet,2024-10-01 00:21:00,False
rid_017673,dev_000005,ios,2024-10-01 00:28:00,False
rid_010721,dev_000006,desktop,2024-10-01 00:35:00,False
rid_014110,dev_000007,ios,2024-10-01 00:42:00,False
rid_005018,dev_000008,desktop,2024-10-01 00:49:00,False
rid_013976,dev_000009,ios,2024-10-01 00:56:00,False
rid_014787,dev_000010,ios,2024-10-01 01:03:00,False
rid_008599,dev_000011,android,2024-10-01 01:10:00,False
rid_013232,dev_000012,tablet,2024-10-01 01:17:00,False
rid_008437,dev_000013,tablet,2024-10-01 01:24:00,False
rid_017507,dev_000014,android,2024-10-01 01:31:00,False
rid_003912,dev_000015,android,2024-10-01 01:38:00,False
rid_017042,dev_000016,android,2024-10-01 01:45:00,False
rid_015381,dev_000017,tablet,2024-10-01 01:52:00,False
rid_005568,dev_000018,ios,2024-10-01 01:59:00,True
rid_003240,dev_000019,tablet,2024-10-01 02:06:00,False
rid_011680,dev_000020,desktop,2024-10-01 02:13:00,False
rid_018738,dev_000021,android,2024-10-01 02:20:00,False
rid_008777,dev_000022,tablet,2024-10-01 02:27:00,False
rid_005295,dev_000023,android,2024-10-01 02:34:00,False
rid_018586,dev_000024,ios,2024-10-01 02:41:00,False
rid_012619,dev_000025,tablet,2024-10-01 02:48:00,False
rid_008179,dev_000026,android,2024-10-01 02:55:00,False
rid_008385,dev_000027,tablet,2024-10-01 03:02:00,False
rid_001269,dev_000028,tablet,2024-10-01 03:09:00,False
rid_016695,dev_000029,ios,2024-10-01 03:16:00,False
rid_009796,dev_000030,desktop,2024-10-01 03:23:00,False
rid_016080,dev_000031,tablet,2024-10-01 03:30:00,False
rid_004608,dev_000032,ios,2024-10-01 03:37:00,True
rid_001617,dev_000033,ios,2024-10-01 03:44:00,False
rid_000214,dev_000034,android,2024-10-01 03:51:00,False
rid_012276,dev_000035,android,2024-10-01 03:58:00,False
rid_018242,dev_000036,ios,2024-10-01 04:05:00,False
rid_014624,dev_000037,ios,2024-10-01 04:12:00,False
rid_013454,dev_000038,ios,2024-10-01 04:19:00,False
rid_010289,dev_000039,tablet,2024-10-01 04:26:00,False
rid_002344,dev_000040,desktop,2024-10-01 04:33:00,False
rid_011230,dev_000041,ios,2024-10-01 04:40:00,False
rid_007590,dev_000042,ios,2024-10-01 04:47:00,True
rid_002181,dev_000043,desktop,2024-10-01 04:54:00,False
rid_005574,dev_000044,desktop,2024-10-01 05:01:00,False
rid_013822,dev_000045,android,2024-10-01 05:08:00,False
rid_016326,dev_000046,tablet,2024-10-01 05:15:00,False
rid_006168,dev_000047,android,2024-10-01 05:22:00,False
rid_013934,dev_000048,ios,2024-10-01 05:29:00,False
rid_019922,dev_000049,android,2024-10-01 05:36:00,False
rid_002198,dev_000050,ios,2024-10-01 05:43:00,False
rid_007528,dev_000051,ios,2024-10-01 05:50:00,False
rid_000133,dev_000052,ios,2024-10-01 05:57:00,False
rid_003328,dev_000053,tablet,2024-10-01 06:04:00,False
rid_016398,dev_000054,desktop,2024-10-01 06:11:00,False
rid_016364,dev_000055,android,2024-10-01 06:18:00,False
rid_018665,dev_000056,android,2024-10-01 06:25:00,False
rid_012498,dev_000057,ios,2024-10-01 06:32:00,False
rid_019238,dev_000058,desktop,2024-10-01 06:39:00,False
rid_014640,dev_000059,desktop,2024-10-01 06:46:00,False
rid_002380,dev_000060,tablet,2024-10-01 06:53:00,True
rid_009317,dev_000061,desktop,2024-10-01 07:00:00,False
rid_007822,dev_000062,android,2024-10-01 07:07:00,False
rid_001905,dev_000063,desktop,2024-10-01 07:14:00,False
rid_002447,dev_000064,ios,2024-10-01 07:21:00,False
rid_019064,dev_000065,ios,2024-10-01 07:28:00,False
rid_018687,dev_000066,ios,2024-10-01 07:35:00,False
rid_019541,dev_000067,ios,2024-10-01 07:42:00,False
rid_009045,dev_000068,desktop,2024-10-01 07:49:00,False
rid_007418,dev_000069,ios,2024-10-01 07:56:00,False
rid_018198,dev_000070,ios,2024-10-01 08:03:00,False
rid_003781,dev_000071,tablet,2024-10-01 08:10:00,False
