real_identity_id,known_user_id,anonymous_user_id,device_id,cookie_id,email_hash,phone_hash,payment_instrument_id,support_account_id
rid_000001,ku_000001,,dev_006296,ck_000993,000000000000000000000000,000000000000000000000000,pay_021113,sup_006884
rid_000002,ku_000002,au_021136,dev_015837,ck_011397,000000000000000000000001,000000000000000000000001,,
rid_000003,ku_000003,au_001385,,ck_007268,000000000000000000000002,000000000000000000000002,pay_014699,
rid_000004,ku_000004,au_017544,dev_004686,ck_019577,000000000000000000000003,000000000000000000000003,pay_004205,
rid_000005,ku_000005,au_015506,dev_002457,ck_002920,000000000000000000000004,000000000000000000000004,pay_004741,
rid_000006,ku_000006,,dev_013182,ck_005230,000000000000000000000005,000000000000000000000005,pay_000088,
rid_000007,ku_000007,au_012091,dev_003179,ck_000684,000000000000000000000006,000000000000000000000006,pay_016766,
rid_000008,ku_000008,au_004681,dev_012500,ck_035752,000000000000000000000007,000000000000000000000007,,sup_006891
rid_000009,ku_000009,,dev_005804,,000000000000000000000008,000000000000000000000008,pay_014145,
rid_000010,ku_000010,au_010850,dev_011485,ck_017186,000000000000000000000009,000000000000000000000009,pay_015745,
rid_000011,ku_000011,au_018707,dev_009061,ck_023822,00000000000000000000000a,00000000000000000000000a,,
rid_000012,ku_000012,au_001126,dev_031858,ck_021122,00000000000000000000000b,00000000000000000000000b,pay_005659,sup_000199
rid_000013,ku_000013,au_008713,dev_016255,ck_033829,00000000000000000000000c,00000000000000000000000c,pay_014499,sup_009667
rid_000014,ku_000014,au_000892,dev_011837,ck_005454,00000000000000000000000d,00000000000000000000000d,pay_003747,
rid_000015,ku_000015,au_017804,,,00000000000000000000000e,00000000000000000000000e,pay_006067,sup_009258
rid_000016,ku_000016,au_029530,dev_002119,ck_002247,00000000000000000000000f,00000000000000000000000f,pay_010297,sup_006395
rid_000017,ku_000017,au_008556,dev_005674,ck_022151,000000000000000000000010,000000000000000000000010,pay_018273,
rid_000018,ku_000018,,dev_008724,ck_002593,000000000000000000000011,000000000000000000000011,pay_021341,sup_008001
rid_000019,ku_000019,,dev_014594,,000000000000000000000012,000000000000000000000012,pay_016933,
rid_000020,ku_000020,au_003033,dev_009219,ck_000104,000000000000000000000013,000000000000000000000013,pay_008802,sup_001992
rid_000021,ku_000021,au_017582,,ck_018786,000000000000000000000014,000000000000000000000014,pay_007500,sup_003676
rid_000022,ku_000022,,dev_016158,,000000000000000000000015,000000000000000000000015,pay_020525,sup_001421
rid_000023,ku_000023,,dev_007434,ck_003962,000000000000000000000016,000000000000000000000016,pay_020243,sup_009366
rid_000024,ku_000024,,dev_007068,ck_024498,000000000000000000000017,000000000000000000000017,pay_006987,sup_001217
rid_000025,ku_000025,au_006496,,,000000000000000000000018,000000000000000000000018,pay_002819,
rid_000026,ku_000026,au_007046,dev_012169,ck_008074,000000000000000000000019,000000000000000000000019,,
rid_000027,ku_000027,au_002801,dev_015165,ck_000650,00000000000000000000001a,00000000000000000000001a,pay_004090,
rid_000028,ku_000028,au_027426,,ck_006927,00000000000000000000001b,00000000000000000000001b,pay_000430,
rid_000029,ku_000029,au_007848,,ck_021907,00000000000000000000001c,00000000000000000000001c,,
rid_000030,ku_000030,au_013577,dev_016591,,00000000000000000000001d,00000000000000000000001d,pay_006045,
rid_000031,ku_000031,,dev_012579,,00000000000000000000001e,00000000000000000000001e,pay_007607,
rid_000032,ku_000032,au_013642,dev_008434,ck_016106,00000000000000000000001f,00000000000000000000001f,,
rid_000033,ku_000033,,dev_004281,ck_013878,000000000000000000000020,000000000000000000000020,pay_011259,
rid_000034,ku_000034,au_018082,dev_010701,ck_030200,000000000000000000000021,000000000000000000000021,pay_008700,
rid_000035,ku_000035,,dev_001334,ck_023359,000000000000000000000022,000000000000000000000022,pay_008264,sup_002801
rid_000036,ku_000036,au_006405,,ck_001677,000000000000000000000023,000000000000000000000023,pay_013719,
rid_000037,ku_000037,au_014414,dev_015294,ck_018576,000000000000000000000024,000000000000000000000024,pay_003772,sup_001989
rid_000038,ku_000038,au_006023,dev_017620,ck_000289,000000000000000000000025,000000000000000000000025,pay_004532,sup_009379
rid_000039,ku_000039,,dev_003464,ck_013189,000000000000000000000026,000000000000000000000026,,
rid_000040,ku_000040,au_001648,,ck_004099,000000000000000000000027,000000000000000000000027,,
rid_000041,ku_000041,au_001537,dev_010240,ck_002774,000000000000000000000028,000000000000000000000028,pay_015688,sup_003115
rid_000042,ku_000042,au_022385,dev_004038,ck_011322,000000000000000000000029,000000000000000000000029,pay_005377,
rid_000043,ku_000043,au_017604,dev_006254,ck_023952,00000000000000000000002a,00000000000000000000002a,pay_018278,sup_005332
rid_000044,ku_000044,au_008262,dev_009648,ck_002179,00000000000000000000002b,00000000000000000000002b,pay_000164,
rid_000045,ku_000045,,dev_021103,ck_001578,00000000000000000000002c,00000000000000000000002c,pay_009560,
rid_000046,ku_000046,au_000575,,ck_027129,00000000000000000000002d,00000000000000000000002d,pay_003364,
rid_000047,ku_000047,au_004855,dev_001758,ck_005156,00000000000000000000002e,00000000000000000000002e,pay_010335,
rid_000048,ku_000048,au_007344,dev_008217,ck_005094,00000000000000000000002f,00000000000000000000002f,pay_003941,sup_001405
rid_000049,ku_000049,au_014912,dev_010407,ck_016267,000000000000000000000030,000000000000000000000030,pay_001704,sup_004798
rid_000050,ku_000050,au_002682,dev_012851,ck_022903,000000000000000000000031,000000000000000000000031,pay_009879,sup_007267
rid_000051,ku_000051,au_002474,dev_008243,ck_001119,000000000000000000000032,000000000000000000000032,,sup_004029
rid_000052,ku_000052,,dev_021214,ck_025697,000000000000000000000033,000000000000000000000033,pay_012022,sup_007080
rid_000053,ku_000053,au_013843,,ck_004337,000000000000000000000034,000000000000000000000034,pay_003212,sup_003640
rid_000054,ku_000054,au_011500,dev_016640,ck_034225,000000000000000000000035,000000000000000000000035,pay_001548,sup_005945
rid_000055,ku_000055,au_006602,dev_025011,ck_015039,000000000000000000000036,000000000000000000000036,pay_shared_001,
rid_000056,ku_000056,au_025469,dev_011735,ck_023815,000000000000000000000037,000000000000000000000037,pay_016796,sup_006934
rid_000057,ku_000057,au_012098,dev_019906,,000000000000000000000038,000000000000000000000038,pay_000684,sup_007666
rid_000058,ku_000058,au_028173,dev_005759,,000000000000000000000039,000000000000000000000039,,sup_001905
rid_000059,ku_000059,au_017535,dev_007715,ck_024332,00000000000000000000003a,00000000000000000000003a,pay_013326,
rid_000060,ku_000060,,dev_006888,ck_026090,00000000000000000000003b,00000000000000000000003b,pay_014264,
rid_000061,ku_000061,au_002388,,ck_026042,00000000000000000000003c,00000000000000000000003c,,sup_003794
rid_000062,ku_000062,,,,00000000000000000000003d,00000000000000000000003d,pay_017754,sup_002442
rid_000063,ku_000063,,dev_004289,ck_003175,00000000000000000000003e,00000000000000000000003e,,sup_008013
rid_000064,ku_000064,,dev_010355,ck_001350,00000000000000000000003f,00000000000000000000003f,pay_004970,
