real_identity_id,ip_id,geo_region,network_type
rid_014113,ip_000001,NA,residential
rid_012592,ip_000002,LATAM,proxy
rid_011177,ip_000003,NA,proxy
rid_009194,ip_000004,EU,proxy
rid_005333,ip_000005,APAC,corporate
rid_006148,ip_000006,EU,mobile
rid_008972,ip_000007,NA,corporate
rid_013531,ip_000008,APAC,residential
rid_004641,ip_000009,LATAM,mobile
rid_006827,ip_000010,EU,proxy
rid_004220,ip_000011,LATAM,residential
rid_016929,ip_000012,APAC,residential
rid_004847,ip_000013,LATAM,mobile
rid_006010,ip_000014,EU,proxy
rid_012912,ip_000015,APAC,proxy
rid_018410,ip_000016,APAC,residential
rid_008297,ip_000017,NA,proxy
rid_015433,ip_000018,NA,corporate
rid_016046,ip_000019,APAC,proxy
rid_016467,ip_000020,EU,residential
rid_013651,ip_000021,LATAM,mobile
rid_001980,ip_000022,EU,mobile
rid_016550,ip_000023,NA,proxy
rid_019716,ip_000024,APAC,mobile
rid_012937,ip_000025,NA,corporate
rid_019623,ip_000026,LATAM,residential
rid_001875,ip_000027,LATAM,proxy
rid_007320,ip_000028,APAC,corporate
rid_001211,ip_000029,APAC,corporate
rid_005408,ip_000030,NA,proxy
rid_009443,ip_000031,LATAM,residential
rid_012981,ip_000032,LATAM,residential
rid_008980,ip_000033,NA,mobile
rid_013113,ip_000034,NA,proxy
rid_014361,ip_000035,APAC,proxy
rid_015463,ip_000036,APAC,corporate
rid_008298,ip_000037,NA,proxy
rid_003170,ip_000038,NA,residential
rid_006531,ip_000039,NA,residential
rid_012442,ip_000040,EU,corporate
rid_017902,ip_000041,EU,residential
rid_010178,ip_000042,LATAM,residential
rid_010351,ip_000043,LATAM,mobile
rid_002226,ip_000044,NA,corporate
rid_002674,ip_000045,LATAM,corporate
rid_014239,ip_000046,NA,corporate
rid_001008,ip_000047,NA,mobile
rid_008249,ip_000048,EU,mobile
rid_000573,ip_000049,EU,mobile
rid_006085,ip_000050,APAC,proxy
rid_013767,ip_000051,EU,proxy
rid_015342,ip_000052,NA,proxy
rid_009605,ip_000053,NA,mobile
rid_000544,ip_000054,APAC,residential
rid_014000,ip_000055,EU,residential
rid_002165,ip_000056,APAC,mobile
rid_003066,ip_000057,NA,proxy
rid_011144,ip_000058,LATAM,corporate
rid_011747,ip_000059,EU,mobile
rid_012096,ip_000060,EU,corporate
rid_008972,ip_000061,LATAM,proxy
rid_015537,ip_000062,NA,proxy
rid_010346,ip_000063,LATAM,corporate
rid_015244,ip_000064,NA,corporate
rid_009481,ip_000065,APAC,corporate
rid_004531,ip_000066,EU,proxy
rid_000594,ip_000067,APAC,corporate
rid_007438,ip_000068,APAC,corporate
rid_017807,ip_000069,APAC,residential
rid_003099,ip_000070,APAC,mobile
rid_010468,ip_000071,EU,corporate
rid_019957,ip_000072,EU,residential
rid_004619,ip_000073,APAC,proxy
rid_015353,ip_000074,NA,mobile
rid_011009,ip_000075,EU,proxy
rid_002734,ip_000076,APAC,proxy
rid_002597,ip_000077,APAC,corporate
rid_006265,ip_000078,APAC,proxy
rid_011989,ip_000079,APAC,mobile
rid_003273,ip_000080,LATAM,residential
rid_005453,ip_000081,APAC,residential
rid_010184,ip_000082,EU,proxy
rid_003632,ip_000083,LATAM,residential
rid_009848,ip_000084,NA,corporate
rid_006841,ip_000085,APAC,residential
rid_008576,ip_000086,LATAM,mobile
rid_011486,ip_000087,APAC,corporate
rid_002913,ip_000088,NA,corporate
rid_014674,ip_000089,APAC,residential
rid_017884,ip_000090,EU,corporate
rid_014678,ip_000091,NA,mobile
rid_000192,ip_000092,EU,corporate
rid_002618,ip_000093,LATAM,residential
rid_008673,ip_000094,EU,proxy
rid_015018,ip_000095,EU,residential
rid_006729,ip_000096,NA,corporate
rid_003732,ip_000097,NA,corporate
rid_012642,ip_000098,NA,corporate
rid_008049,ip_000099,NA,mobile
rid_004181,ip_000100,LATAM,corporate
rid_010003,ip_000101,NA,residential
rid_015600,ip_000102,APAC,residential
rid_019069,ip_000103,NA,corporate
rid_007419,ip_000104,NA,proxy
rid_010745,ip_000105,EU,mobile
rid_004475,ip_000106,LATAM,residential
rid_007800,ip_000107,EU,corporate
rid_009977,ip_000108,EU,corporate
rid_010017,ip_000109,NA,mobile
rid_004956,ip_000110,APAC,residential
rid_005532,ip_000111,NA,corporate
rid_005201,ip_000112,APAC,mobile
rid_002052,ip_000113,NA,proxy
rid_016705,ip_000114,APAC,mobile
rid_007014,ip_000115,EU,residential
rid_000970,ip_000116,LATAM,mobile
rid_018570,ip_000117,NA,proxy
rid_015261,ip_000118,LATAM,mobile
rid_005978,ip_000119,NA,corporate
rid_005100,ip_000120,APAC,residential
rid_015456,ip_000121,LATAM,corporate
rid_018442,ip_000122,APAC,proxy
rid_008989,ip_000123,NA,residential
rid_017588,ip_000124,LATAM,residential
rid_005261,ip_000125,LATAM,proxy
rid_003213,ip_000126,LATAM,residential
rid_011343,ip_000127,APAC,proxy
rid_008482,ip_000128,APAC,mobile
rid_009806,ip_000129,LATAM,proxy
rid_016969,ip_000130,EU,proxy
rid_001895,ip_000131,NA,corporate
rid_018197,ip_000132,LATAM,corporate
rid_009496,ip_000133,EU,corporate
rid_011641,ip_000134,NA,residential
rid_019569,ip_000135,APAC,corporate
rid_015861,ip_000136,EU,proxy
rid_016965,ip_000137,EU,proxy
rid_003859,ip_000138,NA,residential
rid_014694,ip_000139,APAC,proxy
rid_012154,ip_000140,EU,corporate
rid_000979,ip_000141,LATAM,mobile
rid_006718,ip_000142,APAC,proxy
rid_007865,ip_000143,LATAM,residential
rid_008196,ip_000144,NA,corporate
rid_001133,ip_000145,LATAM,corporate
rid_013144,ip_000146,LATAM,mobile
rid_009111,ip_000147,EU,corporate
rid_012742,ip_000148,LATAM,residential
rid_011582,ip_000149,APAC,corporate
rid_012024,ip_000150,NA,proxy
rid_010786,ip_000151,EU,mobile
rid_006813,ip_000152,EU,proxy
rid_002232,ip_000153,NA,mobile
rid_016467,ip_000154,LATAM,mobile
rid_019926,ip_000155,EU,corporate
rid_001457,ip_000156,APAC,proxy
rid_004145,ip_000157,EU,corporate
rid_011534,ip_000158,LATAM,residential
rid_005279,ip_000159,EU,corporate
rid_008888,ip_000160,EU,proxy
rid_002613,ip_000161,APAC,proxy
rid_011848,ip_000162,LATAM,mobile
rid_014518,ip_000163,APAC,corporate
rid_018754,ip_000164,NA,proxy
rid_018751,ip_000165,LATAM,proxy
rid_014394,ip_000166,APAC,residential
rid_019364,ip_000167,EU,mobile
rid_006722,ip_000168,APAC,residential
rid_006409,ip_000169,NA,mobile
rid_005998,ip_000170,EU,proxy
rid_005704,ip_000171,APAC,mobile
rid_000752,ip_000172,APAC,corporate
rid_006021,ip_000173,LATAM,corporate
rid_003521,ip_000174,APAC,proxy
rid_012486,ip_000175,NA,residential
rid_002231,ip_000176,EU,residential
rid_013702,ip_000177,LATAM,residential
rid_002227,ip_000178,NA,proxy
rid_017001,ip_000179,EU,residential
rid_008566,ip_000180,EU,mobile
rid_001593,ip_000181,NA,mobile
rid_001761,ip_000182,APAC,residential
rid_007233,ip_000183,NA,mobile
rid_003737,ip_000184,NA,mobile
rid_017492,ip_000185,APAC,mobile
rid_012401,ip_000186,EU,mobile
rid_004867,ip_000187,LATAM,proxy
rid_015617,ip_000188,EU,mobile
rid_000117,ip_000189,LATAM,mobile
rid_012631,ip_000190,LATAM,mobile
rid_007125,ip_000191,NA,proxy
rid_001583,ip_000192,NA,mobile
rid_014592,ip_000193,NA,proxy
rid_011606,ip_000194,EU,residential
rid_006803,ip_000195,LATAM,corporate
rid_019389,ip_000196,LATAM,mobile
rid_011142,ip_000197,APAC,proxy
rid_003672,ip_000198,EU,residential
rid_016664,ip_000199,LATAM,mobile
rid_008247,ip_000200,NA,mobile
rid_017845,ip_000201,EU,mobile
rid_001468,ip_000202,LATAM,proxy
rid_013749,ip_000203,EU,corporate
rid_013602,ip_000204,EU,corporate
rid_000537,ip_000205,EU,corporate
rid_019078,ip_000206,EU,residential
rid_008242,ip_000207,LATAM,corporate
rid_014360,ip_000208,EU,proxy
rid_004765,ip_000209,NA,proxy
rid_014244,ip_000210,NA,proxy
rid_009128,ip_000211,NA,proxy
rid_000198,ip_000212,APAC,mobile
rid_010445,ip_000213,APAC,mobile
rid_003349,ip_000214,EU,corporate
rid_003505,ip_000215,LATAM,mobile
rid_015089,ip_000216,LATAM,proxy
rid_019711,ip_000217,NA,corporate
rid_015179,ip_000218,EU,corporate
rid_010287,ip_000219,LATAM,mobile
rid_002330,ip_000220,EU,proxy
rid_009830,ip_000221,APAC,proxy
rid_015158,ip_000222,EU,corporate
rid_019031,ip_000223,EU,corporate
rid_010823,ip_000224,APAC,mobile
rid_003414,ip_000225,NA,proxy
rid_001781,ip_000226,NA,mobile
rid_017258,ip_000227,EU,mobile
