real_identity_id,known_user_id,account_created_at,home_region,primary_channel,trust_status
rid_000001,ku_000001,2025-01-01 00:00:00,NA,paid_search,normal
rid_000002,ku_000002,2025-01-01 00:15:00,LATAM,affiliate,review
rid_000003,ku_000003,2025-01-01 00:30:00,APAC,social,normal
rid_000004,ku_000004,2025-01-01 00:45:00,EU,affiliate,normal
rid_000005,ku_000005,2025-01-01 01:00:00,EU,organic,normal
rid_000006,ku_000006,2025-01-01 01:15:00,LATAM,social,normal
rid_000007,ku_000007,2025-01-01 01:30:00,NA,organic,normal
rid_000008,ku_000008,2025-01-01 01:45:00,APAC,paid_search,normal
rid_000009,ku_000009,2025-01-01 02:00:00,NA,affiliate,normal
rid_000010,ku_000010,2025-01-01 02:15:00,NA,social,normal
rid_000011,ku_000011,2025-01-01 02:30:00,APAC,social,normal
rid_000012,ku_000012,2025-01-01 02:45:00,LATAM,paid_search,normal
rid_000013,ku_000013,2025-01-01 03:00:00,APAC,social,normal
rid_000014,ku_000014,2025-01-01 03:15:00,LATAM,social,normal
rid_000015,ku_000015,2025-01-01 03:30:00,APAC,social,normal
rid_000016,ku_000016,2025-01-01 03:45:00,LATAM,direct,normal
rid_000017,ku_000017,2025-01-01 04:00:00,APAC,social,normal
rid_000018,ku_000018,2025-01-01 04:15:00,NA,paid_search,normal
rid_000019,ku_000019,2025-01-01 04:30:00,LATAM,organic,normal
rid_000020,ku_000020,2025-01-01 04:45:00,EU,social,normal
rid_000021,ku_000021,2025-01-01 05:00:00,APAC,organic,normal
rid_000022,ku_000022,2025-01-01 05:15:00,EU,affiliate,normal
rid_000023,ku_000023,2025-01-01 05:30:00,NA,paid_search,normal
rid_000024,ku_000024,2025-01-01 05:45:00,LATAM,organic,normal
rid_000025,ku_000025,2025-01-01 06:00:00,LATAM,paid_search,normal
rid_000026,ku_000026,2025-01-01 06:15:00,APAC,paid_search,normal
rid_000027,ku_000027,2025-01-01 06:30:00,EU,paid_search,normal
rid_000028,ku_000028,2025-01-01 06:45:00,LATAM,paid_search,normal
rid_000029,ku_000029,2025-01-01 07:00:00,APAC,social,normal
rid_000030,ku_000030,2025-01-01 07:15:00,EU,direct,normal
rid_000031,ku_000031,2025-01-01 07:30:00,EU,direct,normal
rid_000032,ku_000032,2025-01-01 07:45:00,NA,paid_search,normal
rid_000033,ku_000033,2025-01-01 08:00:00,NA,direct,normal
rid_000034,ku_000034,2025-01-01 08:15:00,APAC,affiliate,normal
rid_000035,ku_000035,2025-01-01 08:30:00,LATAM,organic,normal
rid_000036,ku_000036,2025-01-01 08:45:00,NA,affiliate,normal
rid_000037,ku_000037,2025-01-01 09:00:00,LATAM,organic,normal
rid_000038,ku_000038,2025-01-01 09:15:00,LATAM,social,normal
rid_000039,ku_000039,2025-01-01 09:30:00,EU,organic,normal
rid_000040,ku_000040,2025-01-01 09:45:00,APAC,affiliate,normal
rid_000041,ku_000041,2025-01-01 10:00:00,NA,affiliate,normal
rid_000042,ku_000042,2025-01-01 10:15:00,LATAM,paid_search,normal
rid_000043,ku_000043,2025-01-01 10:30:00,APAC,direct,watch
rid_000044,ku_000044,2025-01-01 10:45:00,EU,social,normal
rid_000045,ku_000045,2025-01-01 11:00:00,NA,direct,normal
rid_000046,ku_000046,2025-01-01 11:15:00,LATAM,social,normal
rid_000047,ku_000047,2025-01-01 11:30:00,EU,paid_search,normal
rid_000048,ku_000048,2025-01-01 11:45:00,LATAM,direct,normal
rid_000049,ku_000049,2025-01-01 12:00:00,APAC,organic,normal
rid_000050,ku_000050,2025-01-01 12:15:00,LATAM,social,normal
rid_000051,ku_000051,2025-01-01 12:30:00,LATAM,paid_search,normal
rid_000052,ku_000052,2025-01-01 12:45:00,NA,paid_search,normal
rid_000053,ku_000053,2025-01-01 13:00:00,EU,paid_search,normal
rid_000054,ku_000054,2025-01-01 13:15:00,EU,direct,normal
rid_000055,ku_000055,2025-01-01 13:30:00,EU,paid_search,normal
rid_000056,ku_000056,2025-01-01 13:45:00,NA,paid_search,normal
rid_000057,ku_000057,2025-01-01 14:00:00,APAC,direct,normal
rid_000058,ku_000058,2025-01-01 14:15:00,NA,direct,watch
rid_000059,ku_000059,2025-01-01 14:30:00,APAC,social,normal
rid_000060,ku_000060,2025-01-01 14:45:00,APAC,affiliate,review
rid_000061,ku_000061,2025-01-01 15:00:00,LATAM,organic,normal
rid_000062,ku_000062,2025-01-01 15:15:00,APAC,organic,normal
rid_000063,ku_000063,2025-01-01 15:30:00,EU,social,normal
rid_000064,ku_000064,2025-01-01 15:45:00,LATAM,affiliate,normal
rid_000065,ku_000065,2025-01-01 16:00:00,EU,direct,normal
rid_000066,ku_000066,2025-01-01 16:15:00,EU,affiliate,normal
rid_000067,ku_000067,2025-01-01 16:30:00,LATAM,direct,normal
rid_000068,ku_000068,2025-01-01 16:45:00,EU,paid_search,normal
rid_000069,ku_000069,2025-01-01 17:00:00,NA,affiliate,normal
rid_000070,ku_000070,2025-01-01 17:15:00,EU,direct,normal
rid_000071,ku_000071,2025-01-01 17:30:00,LATAM,organic,normal
