real_identity_id,payment_instrument_id,payment_type,shared_payment_flag
rid_015653,pay_shared_000,bank,True
rid_011230,pay_shared_000,bank,True
rid_009435,pay_shared_000,bank,True
rid_006307,pay_shared_000,card,True
rid_005138,pay_shared_000,bank,True
rid_007821,pay_shared_000,wallet,True
rid_000055,pay_shared_001,wallet,True
rid_005975,pay_shared_001,wallet,True
rid_005311,pay_shared_001,bank,True
rid_018039,pay_shared_001,card,True
rid_013806,pay_shared_001,card,True
rid_002787,pay_shared_001,bank,True
rid_002462,pay_shared_002,card,True
rid_016298,pay_shared_002,card,True
rid_017365,pay_shared_002,card,True
rid_015396,pay_shared_002,wallet,True
rid_013088,pay_shared_002,card,True
rid_014185,pay_shared_002,card,True
rid_011810,pay_shared_003,wallet,True
rid_012559,pay_shared_003,wallet,True
rid_002186,pay_shared_003,wallet,True
rid_010497,pay_shared_003,bank,True
rid_005024,pay_shared_003,bank,True
rid_005197,pay_shared_003,card,True
rid_014863,pay_shared_004,bank,True
rid_001127,pay_shared_004,card,True
rid_013923,pay_shared_004,wallet,True
rid_009664,pay_shared_004,card,True
rid_017913,pay_shared_004,card,True
rid_009609,pay_shared_004,bank,True
rid_018348,pay_shared_005,bank,True
rid_016313,pay_shared_005,card,True
rid_007435,pay_shared_005,wallet,True
rid_011580,pay_shared_005,bank,True
rid_018825,pay_shared_005,bank,True
rid_013067,pay_shared_005,card,True
rid_017436,pay_shared_006,card,True
rid_008084,pay_shared_006,bank,True
rid_005624,pay_shared_006,card,True
rid_006880,pay_shared_006,bank,True
rid_017553,pay_shared_006,wallet,True
rid_019116,pay_shared_006,wallet,True
rid_001436,pay_shared_007,wallet,True
rid_014176,pay_shared_007,card,True
rid_003862,pay_shared_007,wallet,True
rid_009349,pay_shared_007,bank,True
rid_001380,pay_shared_007,bank,True
rid_003346,pay_shared_007,bank,True
rid_003958,pay_shared_008,wallet,True
rid_009509,pay_shared_008,card,True
rid_015230,pay_shared_008,wallet,True
rid_012294,pay_shared_008,card,True
rid_005732,pay_shared_008,wallet,True
rid_016743,pay_shared_008,card,True
rid_002100,pay_shared_009,card,True
rid_002302,pay_shared_009,wallet,True
rid_014059,pay_shared_009,card,True
rid_006847,pay_shared_009,bank,True
rid_005927,pay_shared_009,bank,True
rid_005279,pay_shared_009,bank,True
rid_011403,pay_000061,bank,False
rid_016708,pay_000062,card,False
rid_013761,pay_000063,wallet,False
rid_016617,pay_000064,card,False
rid_018442,pay_000065,card,False
rid_018403,pay_000066,wallet,False
rid_015820,pay_000067,wallet,False
rid_015074,pay_000068,card,False
rid_013710,pay_000069,card,False
rid_012694,pay_000070,wallet,False
rid_003223,pay_000071,bank,False
rid_005486,pay_000072,bank,False
rid_016979,pay_000073,card,False
rid_013404,pay_000074,wallet,False
rid_009614,pay_000075,wallet,False
rid_005878,pay_000076,wallet,False
rid_015302,pay_000077,bank,False
rid_008251,pay_000078,bank,False
rid_016615,pay_000079,wallet,False
rid_012919,pay_000080,bank,False
rid_012818,pay_000081,bank,False
rid_001597,pay_000082,wallet,False
rid_010622,pay_000083,bank,False
rid_002951,pay_000084,wallet,False
rid_010213,pay_000085,bank,False
rid_010166,pay_000086,card,False
rid_008222,pay_000087,wallet,False
rid_000006,pay_000088,bank,False
rid_005151,pay_000089,card,False
rid_011324,pay_000090,wallet,False
rid_000930,pay_000091,card,False
rid_014933,pay_000092,wallet,False
rid_018123,pay_000093,wallet,False
rid_001403,pay_000094,card,False
rid_012727,pay_000095,card,False
rid_010797,pay_000096,card,False
rid_008833,pay_000097,wallet,False
rid_015404,pay_000098,card,False
rid_002732,pay_000099,bank,False
rid_009369,pay_000100,card,False
rid_002347,pay_000101,wallet,False
rid_016357,pay_000102,bank,False
rid_004080,pay_000103,wallet,False
rid_008805,pay_000104,card,False
rid_015812,pay_000105,wallet,False
rid_012546,pay_000106,wallet,False
rid_017984,pay_000107,bank,False
rid_011128,pay_000108,card,False
rid_005101,pay_000109,wallet,False
rid_015679,pay_000110,wallet,False
rid_013718,pay_000111,bank,False
rid_001374,pay_000112,wallet,False
rid_017057,pay_000113,bank,False
rid_011381,pay_000114,bank,False
rid_000869,pay_000115,wallet,False
rid_017998,pay_000116,wallet,False
rid_018137,pay_000117,bank,False
rid_013651,pay_000118,wallet,False
rid_012382,pay_000119,wallet,False
rid_016802,pay_000120,card,False
rid_014671,pay_000121,card,False
rid_014322,pay_000122,card,False
rid_018043,pay_000123,bank,False
rid_013212,pay_000124,card,False
rid_005689,pay_000125,bank,False
rid_002918,pay_000126,bank,False
rid_007616,pay_000127,card,False
rid_014333,pay_000128,bank,False
rid_017219,pay_000129,card,False
rid_013580,pay_000130,card,False
rid_000626,pay_000131,card,False
rid_006510,pay_000132,bank,False
rid_019835,pay_000133,wallet,False
rid_009336,pay_000134,wallet,False
rid_017000,pay_000135,card,False
rid_006134,pay_000136,bank,False
rid_002938,pay_000137,wallet,False
rid_007407,pay_000138,wallet,False
rid_019710,pay_000139,bank,False
rid_010745,pay_000140,card,False
rid_018312,pay_000141,bank,False
rid_016081,pay_000142,bank,False
rid_014581,pay_000143,wallet,False
rid_009311,pay_000144,bank,False
rid_006173,pay_000145,wallet,False
rid_012238,pay_000146,wallet,False
rid_002377,pay_000147,bank,False
rid_007572,pay_000148,bank,False
rid_009530,pay_000149,wallet,False
rid_018740,pay_000150,bank,False
rid_003002,pay_000151,bank,False
rid_010141,pay_000152,wallet,False
rid_004548,pay_000153,bank,False
rid_010440,pay_000154,wallet,False
rid_005086,pay_000155,bank,False
rid_015699,pay_000156,wallet,False
rid_013166,pay_000157,card,False
rid_008536,pay_000158,bank,False
rid_006814,pay_000159,wallet,False
rid_003399,pay_000160,bank,False
rid_019193,pay_000161,card,False
rid_002819,pay_000162,bank,False
rid_003043,pay_000163,card,False
rid_000044,pay_000164,card,False
rid_017336,pay_000165,bank,False
rid_011178,pay_000166,bank,False
rid_011287,pay_000167,bank,False
rid_019632,pay_000168,bank,False
rid_015935,pay_000169,wallet,False
rid_016846,pay_000170,bank,False
rid_003565,pay_000171,bank,False
rid_019209,pay_000172,wallet,False
rid_010832,pay_000173,bank,False
rid_011613,pay_000174,wallet,False
rid_016484,pay_000175,bank,False
rid_017032,pay_000176,bank,False
rid_018596,pay_000177,wallet,False
rid_007403,pay_000178,card,False
rid_011103,pay_000179,card,False
rid_007714,pay_000180,bank,False
rid_003883,pay_000181,bank,False
rid_019629,pay_000182,card,False
rid_011251,pay_000183,card,False
rid_014549,pay_000184,bank,False
rid_000933,pay_000185,wallet,False
rid_014446,pay_000186,card,False
rid_013597,pay_000187,wallet,False
rid_006155,pay_000188,wallet,False
rid_016431,pay_000189,card,False
rid_016198,pay_000190,card,False
rid_008430,pay_000191,bank,False
rid_013727,pay_000192,bank,False
rid_011323,pay_000193,bank,False
rid_002892,pay_000194,card,False
rid_017710,pay_000195,bank,False
rid_003926,pay_000196,wallet,False
rid_008436,pay_000197,bank,False
rid_016191,pay_000198,card,False
rid_006708,pay_000199,wallet,False
rid_008068,pay_000200,bank,False
rid_002051,pay_000201,bank,False
rid_012289,pay_000202,wallet,False
rid_007087,pay_000203,bank,False
rid_017356,pay_000204,card,False
rid_013852,pay_000205,wallet,False
rid_011487,pay_000206,wallet,False
rid_018463,pay_000207,bank,False
rid_000152,pay_000208,card,False
rid_007506,pay_000209,bank,False
rid_017342,pay_000210,card,False
rid_019968,pay_000211,card,False
rid_010619,pay_000212,bank,False
rid_014867,pay_000213,bank,False
rid_008733,pay_000214,wallet,False
rid_001354,pay_000215,bank,False
rid_002498,pay_000216,bank,False
rid_015298,pay_000217,wallet,False
rid_019086,pay_000218,bank,False
rid_008197,pay_000219,wallet,False
rid_016926,pay_000220,bank,False
rid_004157,pay_000221,card,False
rid_000194,pay_000222,card,False
rid_010374,pay_000223,wallet,False
rid_005223,pay_000224,bank,False
rid_008875,pay_000225,wallet,False
rid_011910,pay_000226,bank,False
rid_009789,pay_000227,wallet,False
rid_016087,pay_000228,bank,False
rid_012747,pay_000229,card,False
rid_002613,pay_000230,bank,False
rid_010944,pay_000231,card,False
rid_017228,pay_000232,wallet,False
rid_003840,pay_000233,wallet,False
rid_001424,pay_000234,bank,False
rid_010906,pay_000235,wallet,False
rid_013836,pay_000236,bank,False
rid_019200,pay_000237,bank,False
rid_015563,pay_000238,card,False
rid_017634,pay_000239,wallet,False
rid_016699,pay_000240,card,False
rid_019943,pay_000241,bank,False
rid_018368,pay_000242,bank,False
rid_001166,pay_000243,bank,False
rid_010962,pay_000244,bank,False
rid_002846,pay_000245,wallet,False
rid_006485,pay_000246,wallet,False
rid_016329,pay_000247,wallet,False
rid_003075,pay_000248,bank,False
rid_013816,pay_000249,card,False
